birthplace;party;count
Australia  ;Democratic                                   ;3
Australia  ;Republican                                   ;1
Austria    ;Democratic                                   ;8
Austria    ;Republican                                   ;1
Belgium    ;Republican                                   ;1
Cambodia   ;Republican                                   ;1
Canada     ;Democratic                                   ;5
Canada     ;Republican                                   ;3
Czechoslova;Republican                                   ;2
England    ;Democratic                                   ;32
England    ;Republican                                   ;26
France     ;Democratic                                   ;6
France     ;Republican                                   ;3
Germany    ;Democratic                                   ;2
Germany    ;Republican                                   ;2
Greece     ;Democratic                                   ;1
Hungary    ;Democratic                                   ;2
India      ;Democratic                                   ;3
Ireland    ;Democratic                                   ;1
Ireland    ;Republican                                   ;1
Israel     ;Democratic                                   ;1
Italy      ;Democratic                                   ;5
Italy      ;Republican                                   ;2
Japan      ;Democratic                                   ;3
Japan      ;Republican                                   ;2
Mexico     ;Democratic                                   ;1
Mexico     ;Republican                                   ;2
Moldova    ;Republican                                   ;2
New Zealand;Republican                                   ;2
Puerto Rico;Democratic                                   ;2
Puerto Rico;Republican                                   ;1
Romania    ;Republican                                   ;1
Russia     ;Democratic                                   ;2
Russia     ;Republican                                   ;1
Scotland   ;Democratic                                   ;1
Scotland   ;Republican                                   ;2
South Afric;Republican                                   ;1
Spain      ;Democratic                                   ;1
Spain      ;Republican                                   ;1
Sweden     ;Democratic                                   ;1
Sweden     ;Republican                                   ;2
Switzerland;Republican                                   ;1
Taiwan     ;Democratic                                   ;1
Taiwan     ;Republican                                   ;1
Turkey     ;Democratic                                   ;1
Turkey     ;Republican                                   ;1
Ukraine    ;Democratic                                   ;1
USA        ;Democratic                                   ;144
USA        ;Republican                                   ;142
Wales      ;Democratic                                   ;3
Wales      ;Republican                                   ;3
