year,winner,race_ethnicity,ratio
1928,0,White,100.0
1928,1,White,100.0
1929,0,White,100.0
1929,1,White,100.0
1930,0,White,100.0
1930,1,White,100.0
1931,0,White,100.0
1931,1,White,100.0
1932,0,White,100.0
1932,1,White,100.0
1933,0,White,100.0
1933,1,White,100.0
1934,0,White,100.0
1934,1,White,100.0
1935,0,Asian,8.33
1935,0,White,91.67
1935,1,White,100.0
1936,0,White,100.0
1936,1,White,100.0
1937,0,White,100.0
1937,1,White,100.0
1938,0,White,100.0
1938,1,White,100.0
1939,1,Black,20.0
1939,0,White,100.0
1939,1,White,80.0
1940,0,White,100.0
1940,1,White,100.0
1941,0,White,100.0
1941,1,White,100.0
1942,0,White,100.0
1942,1,White,100.0
1943,0,White,100.0
1943,1,White,100.0
1944,0,White,100.0
1944,1,White,100.0
1945,0,White,100.0
1945,1,White,100.0
1946,0,White,100.0
1946,1,White,100.0
1947,0,White,100.0
1947,1,White,100.0
1948,0,Hispa,5.0
1948,0,White,95.0
1948,1,White,100.0
1949,0,Black,5.0
1949,0,White,95.0
1949,1,White,100.0
1950,1,Hispa,20.0
1950,0,White,100.0
1950,1,White,80.0
1951,0,White,100.0
1951,1,White,100.0
1952,0,Hispa,5.0
1952,1,Hispa,20.0
1952,0,White,95.0
1952,1,White,80.0
1953,0,White,100.0
1953,1,White,100.0
1954,0,Black,5.0
1954,0,Hispa,5.0
1954,0,White,90.0
1954,1,White,100.0
1955,0,White,100.0
1955,1,White,100.0
1956,1,Hispa,20.0
1956,0,White,100.0
1956,1,White,80.0
1957,0,Asian,5.0
1957,1,Asian,20.0
1957,0,Hispa,5.0
1957,0,White,90.0
1957,1,White,80.0
1958,0,Black,5.0
1958,0,White,95.0
1958,1,White,100.0
1959,0,Black,5.0
1959,0,White,95.0
1959,1,White,100.0
1960,0,White,100.0
1960,1,White,100.0
1961,1,Hispa,16.67
1961,0,White,100.0
1961,1,White,83.33
1962,0,Arab ,5.0
1962,0,White,95.0
1962,1,White,100.0
1963,1,Black,20.0
1963,0,White,100.0
1963,1,White,80.0
1964,0,Hispa,5.0
1964,0,White,95.0
1964,1,White,100.0
1965,0,Asian,5.0
1965,0,White,95.0
1965,1,White,100.0
1966,0,Asian,5.0
1966,0,Indig,5.0
1966,0,White,90.0
1966,1,White,100.0
1967,0,Black,10.0
1967,0,White,90.0
1967,1,White,100.0
1968,0,White,100.0
1968,1,White,100.0
1969,0,Black,5.0
1969,0,White,95.0
1969,1,White,100.0
1970,0,Black,5.56
1970,0,Indig,5.56
1970,0,White,88.89
1970,1,White,100.0
1971,0,White,100.0
1971,1,White,100.0
1972,0,Black,15.0
1972,0,White,85.0
1972,1,White,100.0
1973,0,White,100.0
1973,1,White,100.0
1974,0,Black,5.0
1974,0,White,95.0
1974,1,White,100.0
1975,0,Arab ,5.0
1975,0,White,95.0
1975,1,White,100.0
1976,0,White,100.0
1976,1,White,100.0
1977,0,White,100.0
1977,1,White,100.0
1978,0,White,100.0
1978,1,White,100.0
1979,0,White,100.0
1979,1,White,100.0
1980,0,White,100.0
1980,1,White,100.0
1981,0,Black,5.0
1981,0,White,95.0
1981,1,White,100.0
1982,1,Asian,20.0
1982,1,Black,20.0
