race,ratio,winner,year,milestone,sentiment
white,100.0,0,1928,-1,-1
white,100.0,1,1928,-1,-1
white,100.0,0,1929,-1,-1
white,100.0,1,1929,-1,-1
white,100.0,0,1930,-1,-1
white,100.0,1,1930,-1,-1
white,100.0,0,1931,-1,-1
white,100.0,1,1931,-1,-1
white,100.0,0,1932,-1,-1
white,100.0,1,1932,-1,-1
white,100.0,0,1933,-1,-1
white,100.0,1,1933,-1,-1
white,100.0,0,1934,-1,-1
white,100.0,1,1934,-1,-1
white,91.7,0,1935,-1,-1
white,8.3,0,1935,-1,-1
white,100.0,1,1935,-1,-1
white,100.0,0,1936,-1,-1
white,100.0,1,1936,-1,-1
white,100.0,0,1937,-1,-1
white,100.0,1,1937,-1,-1
white,100.0,0,1938,-1,-1
white,100.0,1,1938,-1,-1
white,100.0,0,1939,-1,-1
white,80.0,1,1939,-1,-1
black,20.0,1,1939,-1,-1
white,100.0,0,1940,-1,-1
white,100.0,1,1940,-1,-1
white,100.0,0,1941,African–Americans in WWII                             ,Acceptance
white,100.0,1,1941,African–Americans in WWII                             ,Acceptance
white,100.0,0,1942,-1,-1
white,100.0,1,1942,-1,-1
white,100.0,0,1943,-1,-1
white,100.0,1,1943,-1,-1
white,100.0,0,1944,-1,-1
white,100.0,1,1944,-1,-1
white,100.0,0,1945,-1,-1
white,100.0,1,1945,-1,-1
white,100.0,0,1946,-1,-1
white,100.0,1,1946,-1,-1
white,100.0,0,1947,Jackie Robinson                                         ,Acceptance
white,100.0,1,1947,Jackie Robinson                                         ,Acceptance
white,95.0,0,1948,-1,-1
hispa,5.0,0,1948,-1,-1
white,100.0,1,1948,-1,-1
white,95.0,0,1949,-1,-1
black,5.0,0,1949,-1,-1
white,100.0,1,1949,-1,-1
white,100.0,0,1950,-1,-1
white,80.0,1,1950,-1,-1
hispa,20.0,1,1950,-1,-1
white,100.0,0,1951,-1,-1
white,100.0,1,1951,-1,-1
white,95.0,0,1952,-1,-1
hispa,5.0,0,1952,-1,-1
white,80.0,1,1952,-1,-1
hispa,20.0,1,1952,-1,-1
white,100.0,0,1953,-1,-1
white,100.0,1,1953,-1,-1
white,90.0,0,1954,"Brown v. Board Of Education, May 17, 1954",Acceptance
black,5.0,0,1954,"Brown v. Board Of Education, May 17, 1954",Acceptance
hispa,5.0,0,1954,"Brown v. Board Of Education, May 17, 1954",Acceptance
white,100.0,1,1954,"Brown v. Board Of Education, May 17, 1954",Acceptance
white,100.0,0,1955,"Emmett Till|Rosa Parks and the Montgomery Bus Boycott, December 1955",Protest|Protest
white,100.0,1,1955,"Emmett Till|Rosa Parks and the Montgomery Bus Boycott, December 1955",Protest|Protest
white,100.0,0,1956,-1,-1
white,80.0,1,1956,-1,-1
hispa,20.0,1,1956,-1,-1
white,90.0,0,1957,"Central High School integrated, September 1957",Acceptance
white,5.0,0,1957,"Central High School integrated, September 1957",Acceptance
hispa,5.0,0,1957,"Central High School integrated, September 1957",Acceptance
white,80.0,1,1957,"Central High School integrated, September 1957",Acceptance
white,20.0,1,1957,"Central High School integrated, September 1957",Acceptance
white,95.0,0,1958,-1,-1
black,5.0,0,1958,-1,-1
white,100.0,1,1958,-1,-1
white,95.0,0,1959,-1,-1
black,5.0,0,1959,-1,-1
white,100.0,1,1959,-1,-1
white,100.0,0,1960,"Sit–in movement and founding of SNCC, 1960",Protest
white,100.0,1,1960,"Sit–in movement and founding of SNCC, 1960",Protest
white,100.0,0,1961,"CORE and Freedom Rides, May 1961",Acceptance
white,83.333,1,1961,"CORE and Freedom Rides, May 1961",Acceptance
hispa,16.667,1,1961,"CORE and Freedom Rides, May 1961",Acceptance
white,95.0,0,1962,"Integration of Ole Miss, September 1962",Acceptance
arab,5.0,0,1962,"Integration of Ole Miss, September 1962",Acceptance
white,100.0,1,1962,"Integration of Ole Miss, September 1962",Acceptance
white,100.0,0,1963,"Birmingham church bombed, 1963|“I Have a Dream”, 1963",Protest|Acceptance
white,80.0,1,1963,"Birmingham church bombed, 1963|“I Have a Dream”, 1963",Protest|Acceptance
black,20.0,1,1963,"Birmingham church bombed, 1963|“I Have a Dream”, 1963",Protest|Acceptance
white,95.0,0,1964,"Civil Rights Act of 1964, July 1964|Freedom Summer and the “Mississippi Burning” murders, June 1964",Acceptance|Acceptance
hispa,5.0,0,1964,"Civil Rights Act of 1964, July 1964|Freedom Summer and the “Mississippi Burning” murders, June 1964",Acceptance|Acceptance
