Year;race_ethnicity;coint
1962;Arab ;1
1975;Arab ;1
1989;Arab ;1
1990;Arab ;1
1997;Arab ;1
2003;Arab ;1
1935;Asian;1
1957;Asian;2
1965;Asian;1
1966;Asian;1
1982;Asian;1
1984;Asian;2
1985;Asian;2
1991;Asian;1
1994;Asian;1
2000;Asian;1
2001;Asian;1
2003;Asian;2
2005;Asian;1
2006;Asian;1
2012;Asian;1
1939;Black;1
1949;Black;1
1954;Black;1
1958;Black;1
1959;Black;1
1963;Black;1
1967;Black;2
1969;Black;1
1970;Black;1
1972;Black;3
1974;Black;1
1981;Black;1
1982;Black;1
1983;Black;1
1984;Black;1
1985;Black;3
1986;Black;1
1987;Black;2
1988;Black;1
1989;Black;2
1990;Black;1
1991;Black;1
1992;Black;2
1993;Black;2
1994;Black;2
1996;Black;2
1999;Black;2
2001;Black;3
2002;Black;1
2003;Black;1
2004;Black;5
2005;Black;1
2006;Black;5
2007;Black;1
2008;Black;2
2009;Black;4
2011;Black;2
2012;Black;2
2013;Black;3
1948;Hispa;1
1950;Hispa;1
1952;Hispa;2
1954;Hispa;1
1956;Hispa;1
1957;Hispa;1
1961;Hispa;1
1964;Hispa;1
1985;Hispa;1
1987;Hispa;1
1990;Hispa;1
1993;Hispa;1
1998;Hispa;1
2000;Hispa;1
2002;Hispa;1
2003;Hispa;1
2004;Hispa;1
2006;Hispa;1
2011;Hispa;2
1966;Indig;1
1970;Indig;1
1999;Indo ;1
1992;Irish;1
2015;Irish;1
1928;White;10
1929;White;16
1930;White;18
1931;White;15
1932;White;9
1933;White;9
1934;White;10
1935;White;14
1936;White;25
1937;White;25
1938;White;25
1939;White;24
1940;White;25
1941;White;25
1942;White;25
1943;White;25
1944;White;25
1945;White;25
1946;White;25
1947;White;25
1948;White;24
1949;White;24
1950;White;24
1951;White;25
1952;White;23
1953;White;25
1954;White;23
1955;White;25
1956;White;24
1957;White;22
1958;White;24
1959;White;24
1960;White;25
1961;White;25
1962;White;24
1963;White;24
1964;White;24
1965;White;24
1966;White;23
1967;White;23
1968;White;25
1969;White;24
1970;White;23
1971;White;25
1972;White;22
1973;White;25
1974;White;24
1975;White;24
1976;White;25
1977;White;25
1978;White;26
1979;White;25
1980;White;25
1981;White;24
1982;White;23
1983;White;24
1984;White;22
1985;White;19
1986;White;24
1987;White;22
1988;White;24
1989;White;22
1990;White;22
1991;White;23
1992;White;22
1993;White;22
1994;White;22
1995;White;25
1996;White;23
1997;White;24
1998;White;24
1999;White;22
2000;White;23
2001;White;21
2002;White;23
2003;White;20
2004;White;19
2005;White;23
2006;White;18
2007;White;24
2008;White;23
2009;White;21
2010;White;25
2011;White;21
2012;White;22
2013;White;22
2014;White;25
2015;White;24
