,race,ratio,winner,year,milestone,sentiment
0,count_white,100.0,0,1928,-1,-1
1,count_white,100.0,1,1928,-1,-1
2,count_white,100.0,0,1929,-1,-1
3,count_white,100.0,1,1929,-1,-1
4,count_white,100.0,0,1930,-1,-1
5,count_white,100.0,1,1930,-1,-1
6,count_white,100.0,0,1931,-1,-1
7,count_white,100.0,1,1931,-1,-1
8,count_white,100.0,0,1932,-1,-1
9,count_white,100.0,1,1932,-1,-1
10,count_white,100.0,0,1933,-1,-1
11,count_white,100.0,1,1933,-1,-1
12,count_white,100.0,0,1934,-1,-1
13,count_white,100.0,1,1934,-1,-1
14,count_white,91.7,0,1935,-1,-1
15,count_asian,8.3,0,1935,-1,-1
16,count_white,100.0,1,1935,-1,-1
17,count_white,100.0,0,1936,-1,-1
18,count_white,100.0,1,1936,-1,-1
19,count_white,100.0,0,1937,-1,-1
20,count_white,100.0,1,1937,-1,-1
21,count_white,100.0,0,1938,-1,-1
22,count_white,100.0,1,1938,-1,-1
23,count_white,100.0,0,1939,-1,-1
24,count_white,80.0,1,1939,-1,-1
25,count_black,20.0,1,1939,-1,-1
26,count_white,100.0,0,1940,-1,-1
27,count_white,100.0,1,1940,-1,-1
28,count_white,100.0,0,1941,African–Americans in WWII                             ,Acceptance
29,count_white,100.0,1,1941,African–Americans in WWII                             ,Acceptance
30,count_white,100.0,0,1942,-1,-1
31,count_white,100.0,1,1942,-1,-1
32,count_white,100.0,0,1943,-1,-1
33,count_white,100.0,1,1943,-1,-1
34,count_white,100.0,0,1944,-1,-1
35,count_white,100.0,1,1944,-1,-1
36,count_white,100.0,0,1945,-1,-1
37,count_white,100.0,1,1945,-1,-1
38,count_white,100.0,0,1946,-1,-1
39,count_white,100.0,1,1946,-1,-1
40,count_white,100.0,0,1947,Jackie Robinson                                         ,Acceptance
41,count_white,100.0,1,1947,Jackie Robinson                                         ,Acceptance
42,count_white,95.0,0,1948,-1,-1
43,count_hispa,5.0,0,1948,-1,-1
44,count_white,100.0,1,1948,-1,-1
45,count_white,95.0,0,1949,-1,-1
46,count_black,5.0,0,1949,-1,-1
47,count_white,100.0,1,1949,-1,-1
48,count_white,100.0,0,1950,-1,-1
49,count_white,80.0,1,1950,-1,-1
50,count_hispa,20.0,1,1950,-1,-1
51,count_white,100.0,0,1951,-1,-1
52,count_white,100.0,1,1951,-1,-1
53,count_white,95.0,0,1952,-1,-1
54,count_hispa,5.0,0,1952,-1,-1
55,count_white,80.0,1,1952,-1,-1
56,count_hispa,20.0,1,1952,-1,-1
57,count_white,100.0,0,1953,-1,-1
58,count_white,100.0,1,1953,-1,-1
59,count_white,90.0,0,1954,"Brown v. Board Of Education, May 17, 1954",Acceptance
60,count_black,5.0,0,1954,"Brown v. Board Of Education, May 17, 1954",Acceptance
61,count_hispa,5.0,0,1954,"Brown v. Board Of Education, May 17, 1954",Acceptance
62,count_white,100.0,1,1954,"Brown v. Board Of Education, May 17, 1954",Acceptance
63,count_white,100.0,0,1955,"Emmett Till|Rosa Parks and the Montgomery Bus Boycott, December 1955",Protest|Protest
