Year,Gender,count
1928,M,5
1929,M,5
1930,M,6
1931,M,5
1932,M,3
1933,M,3
1934,M,3
1935,M,4
1936,M,5
1937,M,5
1938,M,5
1939,M,5
1940,M,5
1941,M,5
1942,M,5
1943,M,5
1944,M,5
1945,M,5
1946,M,5
1947,M,5
1948,M,5
1949,M,5
1950,M,5
1951,M,5
1952,M,5
1953,M,5
1954,M,5
1955,M,5
1956,M,5
1957,M,5
1958,M,5
1959,M,5
1960,M,5
1961,M,6
1962,M,5
1963,M,5
1964,M,5
1965,M,5
1966,M,5
1967,M,5
1968,M,5
1969,M,5
1970,M,5
1971,M,5
1972,M,5
1973,M,5
1974,M,5
1975,M,5
1976,M,4
1977,M,5
1978,M,6
1979,M,5
1980,M,5
1981,M,5
1982,M,5
1983,M,5
1984,M,5
1985,M,5
1986,M,5
1987,M,5
1988,M,5
1989,M,5
1990,M,5
1991,M,5
1992,M,5
1993,M,4
1994,M,5
1995,M,5
1996,M,5
1997,M,5
1998,M,5
1999,M,5
2000,M,5
2001,M,5
2002,M,5
2003,M,4
2004,M,5
2005,M,5
2006,M,5
2007,M,5
2008,M,5
2009,M,4
2010,M,5
2011,M,5
2012,M,5
2013,M,5
2014,M,5
2015,M,5
1976,W,1
1993,W,1
2003,W,1
2009,W,1
