Year;Award;Name;race_ethnicity
1928;Actor                       ;Emil Jannings                  ;White
1928;Actor                       ;Richard Barthelmess            ;White
1928;Actress                     ;Gloria Swanson                 ;White
1928;Actress                     ;Janet Gaynor                   ;White
1928;Actress                     ;Louise Dresser                 ;White
1928;Directing (Dramatic Picture);Frank Borzage                  ;White
1928;Directing (Dramatic Picture);Herbert Brenon                 ;White
1928;Directing (Dramatic Picture);King Vidor                     ;White
1928;Directing (Comedy Picture)  ;Lewis Milestone                ;White
1928;Directing (Comedy Picture)  ;Ted Wilde                      ;White
1929;Actor                       ;Chester Morris                 ;White
1929;Actor                       ;George Bancroft                ;White
1929;Actor                       ;Lewis Stone                    ;White
1929;Actor                       ;Paul Muni                      ;White
1929;Actor                       ;Warner Baxter                  ;White
1929;Actress                     ;Bessie Love                    ;White
1929;Actress                     ;Betty Compson                  ;White
1929;Actress                     ;Corinne Griffith               ;White
1929;Actress                     ;Jeanne Eagels                  ;White
1929;Actress                     ;Mary Pickford                  ;White
1929;Actress                     ;Ruth Chatterton                ;White
1929;Directing                   ;Frank Lloyd                    ;White
1929;Directing                   ;Frank Lloyd                    ;White
1929;Directing                   ;Harry Beaumont                 ;White
1929;Directing                   ;Irving Cummings                ;White
1929;Directing                   ;Lionel Barrymore               ;White
1930;Actor                       ;George Arliss                  ;White
1930;Actor                       ;George Arliss                  ;White
1930;Actor                       ;Lawrence Tibbett               ;White
1930;Actor                       ;Maurice Chevalier              ;White
1930;Actor                       ;Ronald Colman                  ;White
1930;Actor                       ;Wallace Beery                  ;White
1930;Actress                     ;Gloria Swanson                 ;White
1930;Actress                     ;Greta Garbo                    ;White
1930;Actress                     ;Nancy Carroll                  ;White
1930;Actress                     ;Norma Shearer                  ;White
1930;Actress                     ;Norma Shearer                  ;White
1930;Actress                     ;Ruth Chatterton                ;White
1930;Directing                   ;Clarence Brown                 ;White
1930;Directing                   ;Ernst Lubitsch                 ;White
1930;Directing                   ;Ernst Lubitsch                 ;White
1930;Directing                   ;King Vidor                     ;White
1930;Directing                   ;Lewis Milestone                ;White
1930;Directing                   ;Robert Leonard                 ;White
1931;Actor                       ;Adolphe Menjou                 ;White
1931;Actor                       ;Fredric March                  ;White
1931;Actor                       ;Jackie Cooper                  ;White
1931;Actor                       ;Lionel Barrymore               ;White
1931;Actor                       ;Richard Dix                    ;White
1931;Actress                     ;Ann Harding                    ;White
1931;Actress                     ;Irene Dunne                    ;White
1931;Actress                     ;Marie Dressler                 ;White
1931;Actress                     ;Marlene Dietrich               ;White
1931;Actress                     ;Norma Shearer                  ;White
1931;Directing                   ;Clarence Brown                 ;White
1931;Directing                   ;Josef Von Sternberg            ;White
1931;Directing                   ;Lewis Milestone                ;White
1931;Directing                   ;Norman Taurog                  ;White
1931;Directing                   ;Wesley Ruggles                 ;White
1932;Actor                       ;Alfred Lunt                    ;White
1932;Actor                       ;Fredric March                  ;White
1932;Actor                       ;Wallace Beery                  ;White
1932;Actress                     ;Helen Hayes                    ;White
1932;Actress                     ;Lynn Fontanne                  ;White
1932;Actress                     ;Marie Dressler                 ;White
1932;Directing                   ;Frank Borzage                  ;White
1932;Directing                   ;Josef Von Sternberg            ;White
1932;Directing                   ;King Vidor                     ;White
1933;Actor                       ;Charles Laughton               ;White
1933;Actor                       ;Leslie Howard                  ;White
1933;Actor                       ;Paul Muni                      ;White
1933;Actress                     ;Diana Wynyard                  ;White
1933;Actress                     ;Katharine Hepburn              ;White
1933;Actress                     ;May Robson                     ;White
1933;Directing                   ;Frank Capra                    ;White
1933;Directing                   ;Frank Lloyd                    ;White
1933;Directing                   ;George Cukor                   ;White
1934;Actor                       ;Clark Gable                    ;White
1934;Actor                       ;Frank Morgan                   ;White
1934;Actor                       ;William Powell                 ;White
1934;Actress                     ;Bette Davis                    ;White
