Year;Award;Winner;Name;Ethnicity;Gender;Birthplace
1928;Directing (Dramatic Picture);1;Frank Borzage                                             ;White;M;USA      
1928;Directing (Dramatic Picture);;Herbert Brenon                                            ;White;M;Ireland  
1928;Directing (Dramatic Picture);;King Vidor                                                ;White;M;USA      
1928;Directing (Comedy Picture)  ;1;Lewis Milestone                                           ;White;M;Russia   
1928;Directing (Comedy Picture)  ;;Ted Wilde                                                 ;White;M;USA      
1929;Directing                   ;1;Frank Lloyd                                               ;White;M;UK       
1929;Directing                   ;;Frank Lloyd                                               ;White;M;UK       
1929;Directing                   ;;Harry Beaumont                                            ;White;M;USA      
1929;Directing                   ;;Irving Cummings                                           ;White;M;USA      
1929;Directing                   ;;Lionel Barrymore                                          ;White;M;USA      
1930;Directing                   ;;Clarence Brown                                            ;White;M;USA      
1930;Directing                   ;;Ernst Lubitsch                                            ;White;M;Germany  
1930;Directing                   ;;Ernst Lubitsch                                            ;White;M;Germany  
1930;Directing                   ;;King Vidor                                                ;White;M;USA      
1930;Directing                   ;1;Lewis Milestone                                           ;White;M;Russia   
1930;Directing                   ;;Robert Leonard                                            ;White;M;USA      
1931;Directing                   ;;Clarence Brown                                            ;White;M;USA      
1931;Directing                   ;;Josef Von Sternberg                                       ;White;M;Austria  
1931;Directing                   ;;Lewis Milestone                                           ;White;M;Russia   
1931;Directing                   ;1;Norman Taurog                                             ;White;M;USA      
1931;Directing                   ;;Wesley Ruggles                                            ;White;M;USA      
1932;Directing                   ;1;Frank Borzage                                             ;White;M;USA      
1932;Directing                   ;;Josef Von Sternberg                                       ;White;M;Austria  
1932;Directing                   ;;King Vidor                                                ;White;M;USA      
1933;Directing                   ;;Frank Capra                                               ;White;M;Italy    
1933;Directing                   ;1;Frank Lloyd                                               ;White;M;UK       
1933;Directing                   ;;George Cukor                                              ;White;M;USA      
1934;Directing                   ;1;Frank Capra                                               ;White;M;Italy    
1934;Directing                   ;;Victor Schertzinger                                       ;White;M;USA      
1934;Directing                   ;;W. S. Van Dyke                                            ;White;M;USA      
1935;Directing                   ;;Frank Lloyd                                               ;White;M;UK       
1935;Directing                   ;;Henry Hathaway                                            ;White;M;USA      
1935;Directing                   ;1;John Ford                                                 ;White;M;USA      
1935;Directing                   ;;Michael Curtiz                                            ;White;M;Hungary  
1936;Directing                   ;1;Frank Capra                                               ;White;M;Italy    
1936;Directing                   ;;Gregory La Cava                                           ;White;M;USA      
1936;Directing                   ;;Robert Z. Leonard                                         ;White;M;USA      
1936;Directing                   ;;W. S. Van Dyke                                            ;White;M;USA      
1936;Directing                   ;;William Wyler                                             ;White;M;France   
1937;Directing                   ;;Gregory La Cava                                           ;White;M;USA      
1937;Directing                   ;1;Leo McCarey                                               ;White;M;USA      
1937;Directing                   ;;Sidney Franklin                                           ;White;M;USA      
1937;Directing                   ;;William Dieterle                                          ;White;M;Germany  
1937;Directing                   ;;William Wellman                                           ;White;M;USA      
1938;Directing                   ;1;Frank Capra                                               ;White;M;Italy    
1938;Directing                   ;;King Vidor                                                ;White;M;USA      
1938;Directing                   ;;Michael Curtiz                                            ;White;M;Hungary  
1938;Directing                   ;;Michael Curtiz                                            ;White;M;Hungary  
1938;Directing                   ;;Norman Taurog                                             ;White;M;USA      
1939;Directing                   ;;Frank Capra                                               ;White;M;Italy    
1939;Directing                   ;;John Ford                                                 ;White;M;USA      
1939;Directing                   ;;Sam Wood                                                  ;White;M;USA      
1939;Directing                   ;1;Victor Fleming                                            ;White;M;USA      
1939;Directing                   ;;William Wyler                                             ;White;M;France   
1940;Directing                   ;;Alfred Hitchcock                                          ;White;M;UK       
1940;Directing                   ;;George Cukor                                              ;White;M;USA      
1940;Directing                   ;1;John Ford                                                 ;White;M;USA      
1940;Directing                   ;;Sam Wood                                                  ;White;M;USA      
1940;Directing                   ;;William Wyler                                             ;White;M;France   
1941;Directing                   ;;Alexander Hall                                            ;White;M;USA      
1941;Directing                   ;;Howard Hawks                                              ;White;M;USA      
1941;Directing                   ;1;John Ford                                                 ;White;M;USA      
1941;Directing                   ;;Orson Welles                                              ;White;M;USA      
1941;Directing                   ;;William Wyler                                             ;White;M;France   
1942;Directing                   ;;John Farrow                                               ;White;M;Australia
1942;Directing                   ;;Mervyn LeRoy                                              ;White;M;USA      
1942;Directing                   ;;Michael Curtiz                                            ;White;M;Hungary  
1942;Directing                   ;;Sam Wood                                                  ;White;M;USA      
1942;Directing                   ;1;William Wyler                                             ;White;M;France   
1943;Directing                   ;;Clarence Brown                                            ;White;M;USA      
1943;Directing                   ;;Ernst Lubitsch                                            ;White;M;German   
1943;Directing                   ;;George Stevens                                            ;White;M;USA      
1943;Directing                   ;;Henry King                                                ;White;M;USA      
1943;Directing                   ;1;Michael Curtiz                                            ;White;M;Hungary  
1944;Directing                   ;;Alfred Hitchcock                                          ;White;M;England  
1944;Directing                   ;;Billy Wilder                                              ;White;M;Poland   
1944;Directing                   ;;Henry King                                                ;White;M;USA      
1944;Directing                   ;1;Leo McCarey                                               ;White;M;USA      
1944;Directing                   ;;Otto Preminger                                            ;White;M;Ukraine  
1945;Directing                   ;;Alfred Hitchcock                                          ;White;M;England  
1945;Directing                   ;1;Billy Wilder                                              ;White;M;Austria  
1945;Directing                   ;;Clarence Brown                                            ;White;M;USA      
1945;Directing                   ;;Jean Renoir                                               ;White;M;France   
1945;Directing                   ;;Leo McCarey                                               ;White;M;USA      
1946;Directing                   ;;Clarence Brown                                            ;White;M;USA      
1946;Directing                   ;;David Lean                                                ;White;M;England  
1946;Directing                   ;;Frank Capra                                               ;White;M;italy    
1946;Directing                   ;;Robert Siodmak                                            ;White;M;Germany  
1946;Directing                   ;1;William Wyler                                             ;White;M;France   
1947;Directing                   ;;David Lean                                                ;White;M;England  
1947;Directing                   ;;Edward Dmytryk                                            ;White;M;Canada   
1947;Directing                   ;1;Elia Kazan                                                ;White;M;Turkey   
1947;Directing                   ;;George Cukor                                              ;White;M;USA      
1947;Directing                   ;;Henry Koster                                              ;White;M;Germany  
1948;Directing                   ;;Anatole Litvak                                            ;White;M;Ukraine  
1948;Directing                   ;;Fred Zinnemann                                            ;White;M;Austria  
1948;Directing                   ;;Jean Negulesco                                            ;White;M;Romania  
1948;Directing                   ;1;John Huston                                               ;White;M;USA      
1948;Directing                   ;;Laurence Olivier                                          ;White;M;England  
1949;Directing                   ;;Carol Reed                                                ;White;M;England  
1949;Directing                   ;1;Joseph L. Mankiewicz                                      ;White;M;USA      
1949;Directing                   ;;Robert Rossen                                             ;White;M;USA      
1949;Directing                   ;;William A. Wellman                                        ;White;M;USA      
1949;Directing                   ;;William Wyler                                             ;White;M;Germany  
1950;Directing                   ;;Billy Wilder                                              ;White;M;Poland   
1950;Directing                   ;;Carol Reed                                                ;White;M;England  
1950;Directing                   ;;George Cukor                                              ;White;M;USA      
1950;Directing                   ;;John Huston                                               ;White;M;USA      
1950;Directing                   ;1;Joseph L. Mankiewicz                                      ;White;M;USA      
1951;Directing                   ;;Elia Kazan                                                ;White;M;Turkey   
1951;Directing                   ;1;George Stevens                                            ;White;M;USA      
1951;Directing                   ;;John Huston                                               ;White;M;USA      
1951;Directing                   ;;Vincente Minnelli                                         ;White;M;USA      
1951;Directing                   ;;William Wyler                                             ;White;M;France   
1952;Directing                   ;;Cecil B. DeMille                                          ;White;M;USA      
1952;Directing                   ;;Fred Zinnemann                                            ;White;M;Poland   
1952;Directing                   ;1;John Ford                                                 ;White;M;USA      
1952;Directing                   ;;John Huston                                               ;White;M;USA      
1952;Directing                   ;;Joseph L. Mankiewicz                                      ;White;M;USA      
1953;Directing                   ;;Billy Wilder                                              ;White;M;Poland   
1953;Directing                   ;;Charles Walters                                           ;White;M;USA      
1953;Directing                   ;1;Fred Zinnemann                                            ;White;M;Austria  
1953;Directing                   ;;George Stevens                                            ;White;M;USA      
1953;Directing                   ;;William Wyler                                             ;White;M;Germany  
1954;Directing                   ;;Alfred Hitchcock                                          ;White;M;England  
1954;Directing                   ;;Billy Wilder                                              ;White;M;Poland   
1954;Directing                   ;1;Elia Kazan                                                ;White;M;Turkey   
1954;Directing                   ;;George Seaton                                             ;White;M;USA      
1954;Directing                   ;;William Wellman                                           ;White;M;USA      
1955;Directing                   ;;David Lean                                                ;White;M;England  
1955;Directing                   ;1;Delbert Mann                                              ;White;M;USA      
1955;Directing                   ;;Elia Kazan                                                ;White;M;Turkey   
1955;Directing                   ;;John Sturges                                              ;White;M;USA      
1955;Directing                   ;;Joshua Logan                                              ;White;M;USA      
1956;Directing                   ;1;George Stevens                                            ;White;M;USA      
1956;Directing                   ;;King Vidor                                                ;White;M;USA      
1956;Directing                   ;;Michael Anderson                                          ;White;M;England  
1956;Directing                   ;;Walter Lang                                               ;White;M;USA      
1956;Directing                   ;;William Wyler                                             ;White;M;German   
1957;Directing                   ;;Billy Wilder                                              ;White;M;Poland   
1957;Directing                   ;1;David Lean                                                ;White;M;UK       
1957;Directing                   ;;Joshua Logan                                              ;White;M;USA      
1957;Directing                   ;;Mark Robson                                               ;White;M;Canada   
1957;Directing                   ;;Sidney Lumet                                              ;White;M;USA      
1958;Directing                   ;;Mark Robson                                               ;White;M;Canada   
1958;Directing                   ;;Richard Brooks                                            ;White;M;USA      
1958;Directing                   ;;Robert Wise                                               ;White;M;USA      
1958;Directing                   ;;Stanley Kramer                                            ;White;M;USA      
1958;Directing                   ;1;Vincente Minnelli                                         ;White;M;USA      
1959;Directing                   ;;Billy Wilder                                              ;White;M;Poland   
1959;Directing                   ;;Fred Zinnemann                                            ;White;M;Austria  
1959;Directing                   ;;George Stevens                                            ;White;M;USA      
1959;Directing                   ;;Jack Clayton                                              ;White;M;England  
1959;Directing                   ;1;William Wyler                                             ;White;M;France   
1960;Directing                   ;;Alfred Hitchcock                                          ;White;M;England  
1960;Directing                   ;1;Billy Wilder                                              ;White;M;Austria  
1960;Directing                   ;;Fred Zinnemann                                            ;White;M;
1960;Directing                   ;;Jack Cardiff                                              ;White;M;
1960;Directing                   ;;Jules Dassin                                              ;White;M;
1961;Directing                   ;;Federico Fellini                                          ;White;M;
1961;Directing                   ;;J. Lee Thompson                                           ;White;M;
1961;Directing                   ;1;Jerome Robbins                                            ;White;M;USA      
1961;Directing                   ;;Robert Rossen                                             ;White;M;
1961;Directing                   ;1;Robert Wise                                               ;White;M;USA      
1961;Directing                   ;;Stanley Kramer                                            ;White;M;
1962;Directing                   ;;Arthur Penn                                               ;White;M;
1962;Directing                   ;1;David Lean                                                ;White;M;UK       
1962;Directing                   ;;Frank Perry                                               ;White;M;
1962;Directing                   ;;Pietro Germi                                              ;White;M;
1962;Directing                   ;;Robert Mulligan                                           ;White;M;
1963;Directing                   ;;Elia Kazan                                                ;White;M;
1963;Directing                   ;;Federico Fellini                                          ;White;M;
1963;Directing                   ;;Martin Ritt                                               ;White;M;
1963;Directing                   ;;Otto Preminger                                            ;White;M;
1963;Directing                   ;1;Tony Richardson                                           ;White;M;UK       
1964;Directing                   ;1;George Cukor                                              ;White;M;USA      
1964;Directing                   ;;Michael Cacoyannis                                        ;White;M;
1964;Directing                   ;;Peter Glenville                                           ;White;M;
1964;Directing                   ;;Robert Stevenson                                          ;White;M;
1964;Directing                   ;;Stanley Kubrick                                           ;White;M;
1965;Directing                   ;;David Lean                                                ;White;M;
1965;Directing                   ;;Hiroshi Teshigahara                                       ;Asian;M;
1965;Directing                   ;;John Schlesinger                                          ;White;M;
1965;Directing                   ;1;Robert Wise                                               ;White;M;USA      
1965;Directing                   ;;William Wyler                                             ;White;M;
1966;Directing                   ;;Claude Lelouch                                            ;White;M;France   
