Year;Award;Winner;Name;Ethnicity
1928;Directing (Dramatic Picture);1;Frank Borzage                                             ;White
1928;Directing (Dramatic Picture);;Herbert Brenon                                            ;White
1928;Directing (Dramatic Picture);;King Vidor                                                ;White
1928;Directing (Comedy Picture)  ;1;Lewis Milestone                                           ;White
1928;Directing (Comedy Picture)  ;;Ted Wilde                                                 ;White
1929;Directing                   ;1;Frank Lloyd                                               ;White
1929;Directing                   ;;Frank Lloyd                                               ;White
1929;Directing                   ;;Harry Beaumont                                            ;White
1929;Directing                   ;;Irving Cummings                                           ;White
1929;Directing                   ;;Lionel Barrymore                                          ;White
1930;Directing                   ;;Clarence Brown                                            ;White
1930;Directing                   ;;Ernst Lubitsch                                            ;White
1930;Directing                   ;;Ernst Lubitsch                                            ;White
1930;Directing                   ;;King Vidor                                                ;White
1930;Directing                   ;1;Lewis Milestone                                           ;White
1930;Directing                   ;;Robert Leonard                                            ;White
1931;Directing                   ;;Clarence Brown                                            ;White
1931;Directing                   ;;Josef Von Sternberg                                       ;White
1931;Directing                   ;;Lewis Milestone                                           ;White
1931;Directing                   ;1;Norman Taurog                                             ;White
1931;Directing                   ;;Wesley Ruggles                                            ;White
1932;Directing                   ;1;Frank Borzage                                             ;White
1932;Directing                   ;;Josef Von Sternberg                                       ;White
1932;Directing                   ;;King Vidor                                                ;White
1933;Directing                   ;;Frank Capra                                               ;White
1933;Directing                   ;1;Frank Lloyd                                               ;White
1933;Directing                   ;;George Cukor                                              ;White
1934;Directing                   ;1;Frank Capra                                               ;White
1934;Directing                   ;;Victor Schertzinger                                       ;White
1934;Directing                   ;;W. S. Van Dyke                                            ;White
1935;Directing                   ;;Frank Lloyd                                               ;White
1935;Directing                   ;;Henry Hathaway                                            ;White
1935;Directing                   ;1;John Ford                                                 ;White
1935;Directing                   ;;Michael Curtiz                                            ;White
1936;Directing                   ;1;Frank Capra                                               ;White
1936;Directing                   ;;Gregory La Cava                                           ;White
1936;Directing                   ;;Robert Z. Leonard                                         ;White
1936;Directing                   ;;W. S. Van Dyke                                            ;White
