orientation;party
Bisexual           ;Republican                                   
Bisexual           ;Republican                                   
Bisexual           ;Republican                                   
Bisexual           ;Democratic                                   
Bisexual           ;Democratic                                   
Bisexual           ;Democratic                                   
Bisexual           ;Democratic                                   
Bisexual           ;Democratic                                   
Bisexual           ;Democratic                                   
Bisexual           ;Democratic                                   
Bisexual           ;Democratic                                   
Bisexual           ;Republican                                   
Bisexual           ;Republican                                   
Bisexual           ;Republican                                   
Bisexual           ;Republican                                   
Bisexual           ;Republican                                   
Bisexual           ;Republican                                   
Bisexual           ;Republican                                   
Bisexual           ;Democratic                                   
Bisexual           ;Democratic                                   
Bisexual           ;Democratic                                   
Bisexual           ;Democratic                                   
Bisexual           ;Democratic                                   
Bisexual           ;Democratic                                   
Bisexual           ;Republican                                   
Bisexual           ;Republican                                   
Bisexual           ;Republican                                   
Bisexual           ;Republican                                   
Bisexual           ;Republican                                   
Bisexual           ;Republican                                   
Bisexual           ;Republican                                   
Bisexual           ;Democratic                                   
Bisexual           ;Democratic                                   
Bisexual           ;Republican                                   
Bisexual           ;Democratic                                   
Bisexual           ;Republican                                   
Bisexual           ;Republican                                   
Gay                ;Republican                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Democratic                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Gay                ;Republican                                   
Lesbian            ;Democratic                                   
Lesbian            ;Democratic                                   
Lesbian            ;Republican                                   
Lesbian            ;Republican                                   
Lesbian            ;Democratic                                   
Lesbian            ;Democratic                                   
Lesbian            ;Democratic                                   
Lesbian            ;Republican                                   
Lesbian            ;Republican                                   
Lesbian            ;Republican                                   
Lesbian            ;Republican                                   
Lesbian            ;Republican                                   
Lesbian            ;Democratic                                   
Lesbian            ;Democratic                                   
Lesbian            ;Democratic                                   
Lesbian            ;Democratic                                   
Lesbian            ;Democratic                                   
Lesbian            ;Democratic                                   
Lesbian            ;Democratic                                   
Lesbian            ;Democratic                                   
Lesbian            ;Democratic                                   
Lesbian            ;Republican                                   
Lesbian            ;Republican                                   
Lesbian            ;Republican                                   
Lesbian            ;Republican                                   
Lesbian or Bisexual;Republican                                   
Lesbian or Bisexual;Republican                                   
Lesbian or Bisexual;Republican                                   
Lesbian or Bisexual;Republican                                   
Lesbian or Bisexual;Democratic                                   
Queer              ;Republican                                   
Queer              ;Democratic                                   
Queer              ;Republican                                   
Queer              ;Republican                                   
Queer              ;Republican                                   
Transgender        ;Democratic                                   
