orientation;year;start;end;president;party
Bisexual           ;1929;1929;1933;Herbert Hoover        ;Republican                                   
Bisexual           ;1929;1929;1933;Herbert Hoover        ;Republican                                   
Bisexual           ;1930;1929;1933;Herbert Hoover        ;Republican                                   
Gay                ;1932;1929;1933;Herbert Hoover        ;Republican                                   
Gay                ;1936;1933;1945;Franklin D. Roosevelt ;Democratic                                   
Bisexual           ;1937;1933;1945;Franklin D. Roosevelt ;Democratic                                   
Lesbian            ;1938;1933;1945;Franklin D. Roosevelt ;Democratic                                   
Lesbian            ;1938;1933;1945;Franklin D. Roosevelt ;Democratic                                   
Bisexual           ;1939;1933;1945;Franklin D. Roosevelt ;Democratic                                   
Gay                ;1940;1933;1945;Franklin D. Roosevelt ;Democratic                                   
Gay                ;1940;1933;1945;Franklin D. Roosevelt ;Democratic                                   
Gay                ;1941;1933;1945;Franklin D. Roosevelt ;Democratic                                   
Gay                ;1942;1933;1945;Franklin D. Roosevelt ;Democratic                                   
Gay                ;1942;1933;1945;Franklin D. Roosevelt ;Democratic                                   
Gay                ;1942;1933;1945;Franklin D. Roosevelt ;Democratic                                   
Gay                ;1943;1933;1945;Franklin D. Roosevelt ;Democratic                                   
Gay                ;1944;1933;1945;Franklin D. Roosevelt ;Democratic                                   
Gay                ;1944;1933;1945;Franklin D. Roosevelt ;Democratic                                   
Gay                ;1944;1933;1945;Franklin D. Roosevelt ;Democratic                                   
Gay                ;1946;1945;1953;Harry S. Truman       ;Democratic                                   
Bisexual           ;1946;1945;1953;Harry S. Truman       ;Democratic                                   
Gay                ;1947;1945;1953;Harry S. Truman       ;Democratic                                   
Gay                ;1947;1945;1953;Harry S. Truman       ;Democratic                                   
Bisexual           ;1947;1945;1953;Harry S. Truman       ;Democratic                                   
Gay                ;1948;1945;1953;Harry S. Truman       ;Democratic                                   
Gay                ;1948;1945;1953;Harry S. Truman       ;Democratic                                   
Bisexual           ;1948;1945;1953;Harry S. Truman       ;Democratic                                   
Gay                ;1950;1945;1953;Harry S. Truman       ;Democratic                                   
Gay                ;1951;1945;1953;Harry S. Truman       ;Democratic                                   
Bisexual           ;1951;1945;1953;Harry S. Truman       ;Democratic                                   
Bisexual           ;1951;1945;1953;Harry S. Truman       ;Democratic                                   
Gay                ;1951;1945;1953;Harry S. Truman       ;Democratic                                   
Gay                ;1952;1945;1953;Harry S. Truman       ;Democratic                                   
Bisexual           ;1952;1945;1953;Harry S. Truman       ;Democratic                                   
Gay                ;1952;1945;1953;Harry S. Truman       ;Democratic                                   
Gay                ;1953;1953;1961;Dwight D. Eisenhower  ;Republican                                   
Gay                ;1953;1953;1961;Dwight D. Eisenhower  ;Republican                                   
Bisexual           ;1953;1953;1961;Dwight D. Eisenhower  ;Republican                                   
Bisexual           ;1954;1953;1961;Dwight D. Eisenhower  ;Republican                                   
Bisexual           ;1955;1953;1961;Dwight D. Eisenhower  ;Republican                                   
Gay                ;1956;1953;1961;Dwight D. Eisenhower  ;Republican                                   
Gay                ;1956;1953;1961;Dwight D. Eisenhower  ;Republican                                   
Gay                ;1956;1953;1961;Dwight D. Eisenhower  ;Republican                                   
Bisexual           ;1956;1953;1961;Dwight D. Eisenhower  ;Republican                                   
Bisexual           ;1957;1953;1961;Dwight D. Eisenhower  ;Republican                                   
Gay                ;1957;1953;1961;Dwight D. Eisenhower  ;Republican                                   
Gay                ;1958;1953;1961;Dwight D. Eisenhower  ;Republican                                   
Bisexual           ;1958;1953;1961;Dwight D. Eisenhower  ;Republican                                   
Gay                ;1958;1953;1961;Dwight D. Eisenhower  ;Republican                                   
Gay                ;1960;1953;1961;Dwight D. Eisenhower  ;Republican                                   
Bisexual           ;1960;1953;1961;Dwight D. Eisenhower  ;Republican                                   
Gay                ;1960;1953;1961;Dwight D. Eisenhower  ;Republican                                   
Gay                ;1960;1953;1961;Dwight D. Eisenhower  ;Republican                                   
