birthplace;person;party;race_ethnicity
USA        ;Adrien Brody        ;Republican                                   ;White
USA        ;Al Pacino           ;Democratic                                   ;White
USA        ;Alan Arkin          ;Republican                                   ;White
England    ;Alec Guinness       ;Republican                                   ;White
USA        ;Alice Brady         ;Democratic                                   ;White
Taiwan     ;Ang Lee             ;Republican                                   ;Asian
Taiwan     ;Ang Lee             ;Democratic                                   ;Asian
USA        ;Angelina Jolie      ;Democratic                                   ;White
USA        ;Angelina Jolie      ;Democratic                                   ;White
USA        ;Anjelica Huston     ;Republican                                   ;White
Italy      ;Anna Magnani        ;Republican                                   ;White
Canada     ;Anna Paquin         ;Democratic                                   ;White
USA        ;Anne Bancroft       ;Democratic                                   ;asian
USA        ;Anne Baxter         ;Democratic                                   ;White
USA        ;Anne Hathaway       ;Democratic                                   ;White
USA        ;Anne Revere         ;Democratic                                   ;White
USA        ;Anne Revere         ;Democratic                                   ;White
Wales      ;Anthony Hopkins     ;Republican                                   ;White
England    ;Anthony Minghella   ;Democratic                                   ;White
Mexico     ;Anthony Quinn       ;Republican                                   ;Hispa
Mexico     ;Anthony Quinn       ;Republican                                   ;Hispa
USA        ;Art Carney          ;Republican                                   ;White
Belgium    ;Audrey Hepburn      ;Republican                                   ;White
USA        ;Barbra Streisand    ;Republican                                   ;White
Ireland    ;Barry Fitzgerald    ;Democratic                                   ;White
USA        ;Barry Levinson      ;Republican                                   ;White
USA        ;Beatrice Straight   ;Democratic                                   ;White
USA        ;Ben Johnson         ;Republican                                   ;White
England    ;Ben Kingsley        ;Republican                                   ;Asian
Puerto Rico;Benicio Del Toro    ;Republican                                   ;White
Italy      ;Bernardo Bertolucci ;Republican                                   ;White
USA        ;Bette Davis         ;Republican                                   ;White
USA        ;Bette Davis         ;Democratic                                   ;White
Austria    ;Billy Wilder        ;Democratic                                   ;White
Austria    ;Billy Wilder        ;Democratic                                   ;White
Austria    ;Billy Wilder        ;Democratic                                   ;White
USA        ;Bing Crosby         ;Democratic                                   ;White
USA        ;Bob Fosse           ;Republican                                   ;White
Ireland    ;Brenda Fricker      ;Republican                                   ;White
USA        ;Broderick Crawford  ;Democratic                                   ;White
USA        ;Burl Ives           ;Republican                                   ;White
USA        ;Burt Lancaster      ;Democratic                                   ;White
England    ;Carol Reed          ;Republican                                   ;White
Australia  ;Cate Blanchett      ;Republican                                   ;White
Australia  ;Cate Blanchett      ;Democratic                                   ;White
Wales      ;Catherine Zeta-Jones;Republican                                   ;White
USA        ;Celeste Holm        ;Democratic                                   ;White
USA        ;Charles Coburn      ;Democratic                                   ;White
England    ;Charles Laughton    ;Democratic                                   ;White
South Afric;Charlize Theron     ;Republican                                   ;White
USA        ;Charlton Heston     ;Republican                                   ;White
USA        ;Cher                ;Republican                                   ;White
USA        ;Chris Cooper        ;Republican                                   ;White
Wales      ;Christian Bale      ;Democratic                                   ;White
Austria    ;Christoph Waltz     ;Democratic                                   ;White
Austria    ;Christoph Waltz     ;Democratic                                   ;White
Canada     ;Christopher Plummer ;Democratic                                   ;White
USA        ;Christopher Walken  ;Democratic                                   ;White
USA        ;Claire Trevor       ;Democratic                                   ;White
USA        ;Clark Gable         ;Democratic                                   ;White
France     ;Claudette Colbert   ;Democratic                                   ;White
USA        ;Cliff Robertson     ;Republican                                   ;White
USA        ;Clint Eastwood      ;Democratic                                   ;White
USA        ;Clint Eastwood      ;Republican                                   ;White
USA        ;Cloris Leachman     ;Republican                                   ;White
England    ;Colin Firth         ;Democratic                                   ;White
England    ;Daniel Day-Lewis    ;Republican                                   ;White
England    ;Daniel Day-Lewis    ;Republican                                   ;White
England    ;Daniel Day-Lewis    ;Democratic                                   ;White
England    ;Danny Boyle         ;Democratic                                   ;White
England    ;Danny Boyle         ;Democratic                                   ;White
England    ;David Lean          ;Republican                                   ;White
England    ;David Lean          ;Democratic                                   ;White
England    ;David Niven         ;Republican                                   ;White
USA        ;Dean Jagger         ;Democratic                                   ;White
USA        ;Delbert Mann        ;Republican                                   ;White
USA        ;Denzel Washington   ;Republican                                   ;Black
USA        ;Denzel Washington   ;Republican                                   ;Black
USA        ;Diane Keaton        ;Democratic                                   ;White
USA        ;Dianne Wiest        ;Republican                                   ;White
USA        ;Dianne Wiest        ;Democratic                                   ;White
USA        ;Don Ameche          ;Republican                                   ;White
England    ;Donald Crisp        ;Democratic                                   ;White
USA        ;Donna Reed          ;Republican                                   ;White
USA        ;Dorothy Malone      ;Republican                                   ;White
USA        ;Dustin Hoffman      ;Democratic                                   ;White
USA        ;Dustin Hoffman      ;Republican                                   ;White
USA        ;Edmond O'Brien      ;Republican                                   ;White
Wales      ;Edmund Gwenn        ;Democratic                                   ;White
USA        ;Eileen Heckart      ;Republican                                   ;White
Turkey     ;Elia Kazan          ;Democratic                                   ;White
Turkey     ;Elia Kazan          ;Republican                                   ;White
England    ;Elizabeth Taylor    ;Democratic                                   ;White
England    ;Elizabeth Taylor    ;Democratic                                   ;White
England    ;Elizabeth Taylor    ;Democratic                                   ;White
USA        ;Ellen Burstyn       ;Republican                                   ;White
Switzerland;Emil Jannings       ;Republican                                   ;White
England    ;Emma Thompson       ;Democratic                                   ;White
USA        ;Ernest Borgnine     ;Republican                                   ;White
USA        ;Estelle Parsons     ;Democratic                                   ;White
USA        ;Ethan Coen          ;Republican                                   ;White
USA        ;Ethel Barrymore     ;Democratic                                   ;White
USA        ;Eva Marie Saint     ;Republican                                   ;White
USA        ;F. Murray Abraham   ;Republican                                   ;White
USA        ;Fay Bainter         ;Democratic                                   ;White
USA        ;Faye Dunaway        ;Democratic                                   ;White
USA        ;Faye Dunaway        ;Democratic                                   ;White
USA        ;Forest Whitaker     ;Republican                                   ;White
USA        ;Frances McDormand   ;Democratic                                   ;White
USA        ;Francis Ford Coppola;Republican                                   ;White
USA        ;Frank Borzage       ;Democratic                                   ;White
Italy      ;Frank Capra         ;Democratic                                   ;White
Italy      ;Frank Capra         ;Democratic                                   ;White
Italy      ;Frank Capra         ;Democratic                                   ;White
Scotland   ;Frank Lloyd         ;Republican                                   ;White
Scotland   ;Frank Lloyd         ;Democratic                                   ;White
USA        ;Frank Sinatra       ;Republican                                   ;White
Japan      ;Franklin J. Schaffne;Republican                                   ;White
Austria    ;Fred Zinnemann      ;Republican                                   ;White
Austria    ;Fred Zinnemann      ;Democratic                                   ;White
USA        ;Fredric March       ;Democratic                                   ;White
USA        ;Gale Sondergaard    ;Democratic                                   ;White
USA        ;Gary Cooper         ;Democratic                                   ;White
USA        ;Gary Cooper         ;Republican                                   ;White
USA        ;Gary Cooper         ;Republican                                   ;White
USA        ;Geena Davis         ;Republican                                   ;White
USA        ;Gene Hackman        ;Republican                                   ;White
USA        ;Gene Hackman        ;Democratic                                   ;White
Australia  ;Geoffrey Rush       ;Democratic                                   ;White
England    ;George Arliss       ;Republican                                   ;White
USA        ;George Burns        ;Republican                                   ;White
USA        ;George C. Scott     ;Republican                                   ;White
USA        ;George Chakiris     ;Democratic                                   ;White
USA        ;George Clooney      ;Republican                                   ;White
USA        ;George Cukor        ;Democratic                                   ;White
USA        ;George Kennedy      ;Democratic                                   ;White
USA        ;George Roy Hill     ;Republican                                   ;White
Russia     ;George Sanders      ;Democratic                                   ;White
USA        ;George Stevens      ;Democratic                                   ;White
USA        ;George Stevens      ;Republican                                   ;White
USA        ;Geraldine Page      ;Republican                                   ;White
USA        ;Gig Young           ;Republican                                   ;White
USA        ;Ginger Rogers       ;Democratic                                   ;White
USA        ;Ginger Rogers       ;Democratic                                   ;White
England    ;Glenda Jackson      ;Republican                                   ;White
England    ;Glenda Jackson      ;Republican                                   ;White
USA        ;Gloria Grahame      ;Republican                                   ;White
USA        ;Goldie Hawn         ;Republican                                   ;White
USA        ;Grace Kelly         ;Republican                                   ;White
England    ;Greer Garson        ;Democratic                                   ;White
USA        ;Gregory Peck        ;Democratic                                   ;White
USA        ;Gwyneth Paltrow     ;Democratic                                   ;White
USA        ;Gwyneth Paltrow     ;Democratic                                   ;White
Cambodia   ;Haing S. Ngor       ;Republican                                   ;Asian
USA        ;Halle Berry         ;Republican                                   ;Black
Canada     ;Harold Russell      ;Democratic                                   ;White
USA        ;Hattie McDaniel     ;Democratic                                   ;Black
Australia  ;Heath Ledger        ;Democratic                                   ;White
USA        ;Helen Hayes         ;Republican                                   ;White
USA        ;Helen Hayes         ;Republican                                   ;White
USA        ;Helen Hunt          ;Democratic                                   ;White
England    ;Helen Mirren        ;Republican                                   ;White
USA        ;Henry Fonda         ;Republican                                   ;White
USA        ;Hilary Swank        ;Democratic                                   ;White
USA        ;Hilary Swank        ;Republican                                   ;White
USA        ;Hilary Swank        ;Republican                                   ;White
USA        ;Hilary Swank        ;Republican                                   ;White
USA        ;Holly Hunter        ;Democratic                                   ;White
Wales      ;Hugh Griffith       ;Republican                                   ;White
USA        ;Humphrey Bogart     ;Democratic                                   ;White
Sweden     ;Ingrid Bergman      ;Democratic                                   ;White
Sweden     ;Ingrid Bergman      ;Republican                                   ;White
Sweden     ;Ingrid Bergman      ;Republican                                   ;White
USA        ;Jack Albertson      ;Republican                                   ;White
USA        ;Jack Albertson      ;Republican                                   ;White
USA        ;Jack Lemmon         ;Republican                                   ;White
USA        ;Jack Lemmon         ;Republican                                   ;White
USA        ;Jack Nicholson      ;Republican                                   ;White
USA        ;Jack Nicholson      ;Republican                                   ;White
USA        ;Jack Nicholson      ;Democratic                                   ;White
USA        ;Jack Palance        ;Republican                                   ;White
USA        ;James Cagney        ;Democratic                                   ;White
Canada     ;James Cameron       ;Democratic                                   ;White
USA        ;James Coburn        ;Democratic                                   ;White
USA        ;James Coburn        ;Democratic                                   ;White
USA        ;James Dunn          ;Democratic                                   ;White
USA        ;James L. Brooks     ;Republican                                   ;White
USA        ;Jamie Foxx          ;Republican                                   ;Black
USA        ;Jane Darwell        ;Democratic                                   ;White
USA        ;Jane Fonda          ;Republican                                   ;White
USA        ;Jane Fonda          ;Democratic                                   ;White
USA        ;Jane Wyman          ;Democratic                                   ;White
USA        ;Janet Gaynor        ;Republican                                   ;White
USA        ;Jared Leto          ;Democratic                                   ;White
USA        ;Jason Robards       ;Democratic                                   ;White
USA        ;Jason Robards       ;Democratic                                   ;White
USA        ;Jason Robards       ;Democratic                                   ;White
Spain      ;Javier Bardem       ;Republican                                   ;White
France     ;Jean Dujardin       ;Democratic                                   ;White
USA        ;Jeff Bridges        ;Democratic                                   ;White
USA        ;Jennifer Connelly   ;Republican                                   ;White
USA        ;Jennifer Hudson     ;Republican                                   ;Black
USA        ;Jennifer Jones      ;Democratic                                   ;White
USA        ;Jennifer Lawrence   ;Democratic                                   ;White
England    ;Jeremy Irons        ;Republican                                   ;White
USA        ;Jerome Robbins      ;Democratic                                   ;White
USA        ;Jessica Lange       ;Republican                                   ;White
USA        ;Jessica Lange       ;Democratic                                   ;White
England    ;Jessica Tandy       ;Republican                                   ;White
England    ;Jim Broadbent       ;Republican                                   ;White
USA        ;Jimmy Stewart       ;Democratic                                   ;White
USA        ;Jo Van Fleet        ;Republican                                   ;White
USA        ;Joan Crawford       ;Democratic                                   ;White
Japan      ;Joan Fontaine       ;Democratic                                   ;White
USA        ;Joanne Woodward     ;Republican                                   ;White
USA        ;Joanne Woodward     ;Republican                                   ;White
USA        ;Jodie Foster        ;Republican                                   ;White
USA        ;Jodie Foster        ;Republican                                   ;White
USA        ;Joe Pesci           ;Republican                                   ;White
USA        ;Joel Coen           ;Republican                                   ;White
USA        ;Joel Grey           ;Republican                                   ;White
USA        ;John Ford           ;Democratic                                   ;White
USA        ;John Ford           ;Democratic                                   ;White
USA        ;John Ford           ;Democratic                                   ;White
USA        ;John Ford           ;Republican                                   ;White
USA        ;John G. Avildsen    ;Republican                                   ;White
England    ;John Gielgud        ;Republican                                   ;White
Romania    ;John Houseman       ;Republican                                   ;White
USA        ;John Huston         ;Democratic                                   ;White
USA        ;John Huston         ;Democratic                                   ;White
England    ;John Mills          ;Republican                                   ;White
England    ;John Schlesinger    ;Republican                                   ;White
USA        ;John Wayne          ;Republican                                   ;White
USA        ;Jon Voight          ;Democratic                                   ;White
USA        ;Jonathan Demme      ;Republican                                   ;White
Puerto Rico;Jose Ferrer         ;Democratic                                   ;Hispa
USA        ;Joseph L. Mankiewicz;Democratic                                   ;White
USA        ;Joseph L. Mankiewicz;Democratic                                   ;White
Austria    ;Joseph Schildkraut  ;Democratic                                   ;White
USA        ;Josephine Hull      ;Democratic                                   ;White
England    ;Judi Dench          ;Democratic                                   ;White
USA        ;Judy Holliday       ;Democratic                                   ;White
USA        ;Julia Roberts       ;Republican                                   ;White
England    ;Julie Andrews       ;Democratic                                   ;White
India      ;Julie Christie      ;Democratic                                   ;White
France     ;Juliette Binoche    ;Democratic                                   ;White
USA        ;Karl Malden         ;Democratic                                   ;White
England    ;Kate Winslet        ;Democratic                                   ;White
USA        ;Katharine Hepburn   ;Democratic                                   ;White
USA        ;Katharine Hepburn   ;Democratic                                   ;White
USA        ;Katharine Hepburn   ;Republican                                   ;White
USA        ;Katharine Hepburn   ;Republican                                   ;White
USA        ;Kathryn Bigelow     ;Democratic                                   ;White
USA        ;Kathy Bates         ;Republican                                   ;White
Greece     ;Katina Paxinou      ;Democratic                                   ;White
USA        ;Kevin Costner       ;Republican                                   ;White
USA        ;Kevin Kline         ;Republican                                   ;White
USA        ;Kevin Spacey        ;Democratic                                   ;White
USA        ;Kevin Spacey        ;Democratic                                   ;White
USA        ;Kim Basinger        ;Democratic                                   ;White
USA        ;Kim Hunter          ;Democratic                                   ;White
England    ;Laurence Olivier    ;Democratic                                   ;White
USA        ;Lee Grant           ;Republican                                   ;White
USA        ;Lee Grant           ;Republican                                   ;White
USA        ;Lee Marvin          ;Democratic                                   ;White
USA        ;Leo McCarey         ;Democratic                                   ;White
USA        ;Leo McCarey         ;Democratic                                   ;White
Moldova    ;Lewis Milestone     ;Republican                                   ;White
Moldova    ;Lewis Milestone     ;Republican                                   ;White
Russia     ;Lila Kedrova        ;Democratic                                   ;White
USA        ;Linda Hunt          ;Republican                                   ;White
USA        ;Lionel Barrymore    ;Republican                                   ;White
USA        ;Liza Minnelli       ;Republican                                   ;White
USA        ;Loretta Young       ;Democratic                                   ;White
USA        ;Louise Fletcher     ;Republican                                   ;White
Germany    ;Luise Rainer        ;Democratic                                   ;White
Germany    ;Luise Rainer        ;Republican                                   ;White
Mexico     ;Lupita Nyong'o      ;Democratic                                   ;White
England    ;Maggie Smith        ;Republican                                   ;White
England    ;Maggie Smith        ;Republican                                   ;White
England    ;Maggie Smith        ;Democratic                                   ;White
USA        ;Marcia Gay Harden   ;Republican                                   ;White
USA        ;Marcia Gay Harden   ;Republican                                   ;White
England    ;Margaret Rutherford ;Democratic                                   ;White
Canada     ;Marie Dressler      ;Republican                                   ;White
France     ;Marion Cotillard    ;Republican                                   ;White
USA        ;Marisa Tomei        ;Democratic                                   ;White
USA        ;Marlee Matlin       ;Republican                                   ;White
USA        ;Marlon Brando       ;Republican                                   ;White
USA        ;Marlon Brando       ;Republican                                   ;White
USA        ;Martin Balsam       ;Democratic                                   ;White
USA        ;Martin Landau       ;Democratic                                   ;White
USA        ;Martin Scorsese     ;Republican                                   ;White
USA        ;Mary Astor          ;Democratic                                   ;White
USA        ;Mary Astor          ;Democratic                                   ;White
Canada     ;Mary Pickford       ;Republican                                   ;White
USA        ;Mary Steenburgen    ;Republican                                   ;White
USA        ;Matthew McConaughey ;Democratic                                   ;White
USA        ;Maureen Stapleton   ;Republican                                   ;White
Austria    ;Maximilian Schell   ;Democratic                                   ;White
USA        ;Mel Gibson          ;Democratic                                   ;White
USA        ;Melissa Leo         ;Democratic                                   ;White
USA        ;Melvyn Douglas      ;Democratic                                   ;White
USA        ;Melvyn Douglas      ;Democratic                                   ;White
USA        ;Mercedes McCambridge;Democratic                                   ;White
USA        ;Mercedes Ruehl      ;Republican                                   ;White
USA        ;Meryl Streep        ;Democratic                                   ;White
USA        ;Meryl Streep        ;Republican                                   ;White
USA        ;Meryl Streep        ;Democratic                                   ;White
England    ;Michael Caine       ;Republican                                   ;White
England    ;Michael Caine       ;Democratic                                   ;White
USA        ;Michael Cimino      ;Democratic                                   ;White
USA        ;Michael Cimino      ;Democratic                                   ;White
Hungary    ;Michael Curtiz      ;Democratic                                   ;White
USA        ;Michael Douglas     ;Republican                                   ;White
France     ;Michel Hazanavicius ;Democratic                                   ;White
Germany    ;Mike Nichols        ;Democratic                                   ;White
Czechoslova;Milos Forman        ;Republican                                   ;White
Czechoslova;Milos Forman        ;Republican                                   ;White
USA        ;Mira Sorvino        ;Democratic                                   ;White
Japan      ;Miyoshi Umeki       ;Republican                                   ;Asian
USA        ;Mo'Nique            ;Democratic                                   ;Black
USA        ;Mo'Nique            ;Democratic                                   ;Black
USA        ;Morgan Freeman      ;Republican                                   ;Black
Israel     ;Natalie Portman     ;Democratic                                   ;White
USA        ;Nicolas Cage        ;Democratic                                   ;White
USA        ;Nicole Kidman       ;Republican                                   ;White
Canada     ;Norma Shearer       ;Republican                                   ;White
USA        ;Norman Taurog       ;Republican                                   ;White
USA        ;Octavia Spencer     ;Democratic                                   ;Black
USA        ;Oliver Stone        ;Republican                                   ;White
USA        ;Oliver Stone        ;Republican                                   ;White
Japan      ;Olivia de Havilland ;Democratic                                   ;White
