birthplace;party
USA        ;Democratic                                   
Scotland   ;Democratic                                   
England    ;Democratic                                   
France     ;Democratic                                   
Italy      ;Democratic                                   
USA        ;Democratic                                   
England    ;Democratic                                   
Ukraine    ;Democratic                                   
Germany    ;Democratic                                   
USA        ;Democratic                                   
Italy      ;Democratic                                   
USA        ;Democratic                                   
Austria    ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
Italy      ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
India      ;Democratic                                   
USA        ;Democratic                                   
England    ;Democratic                                   
Japan      ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
England    ;Democratic                                   
France     ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
Hungary    ;Democratic                                   
Greece     ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
England    ;Democratic                                   
USA        ;Democratic                                   
Hungary    ;Democratic                                   
Ireland    ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
Sweden     ;Democratic                                   
USA        ;Democratic                                   
Austria    ;Democratic                                   
Wales      ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
France     ;Democratic                                   
Canada     ;Democratic                                   
USA        ;Democratic                                   
Japan      ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
Wales      ;Democratic                                   
England    ;Democratic                                   
Turkey     ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
England    ;Democratic                                   
Canada     ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
Japan      ;Democratic                                   
USA        ;Democratic                                   
Puerto Rico;Democratic                                   
Russia     ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
India      ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
Austria    ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
Austria    ;Democratic                                   
England    ;Democratic                                   
England    ;Democratic                                   
USA        ;Democratic                                   
Italy      ;Democratic                                   
Puerto Rico;Democratic                                   
Austria    ;Democratic                                   
USA        ;Democratic                                   
England    ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
England    ;Democratic                                   
England    ;Democratic                                   
England    ;Democratic                                   
England    ;Democratic                                   
Russia     ;Democratic                                   
England    ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
India      ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
England    ;Democratic                                   
England    ;Democratic                                   
England    ;Democratic                                   
Austria    ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
Germany    ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
England    ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
England    ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
England    ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
England    ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
Canada     ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
Australia  ;Democratic                                   
England    ;Democratic                                   
France     ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
Canada     ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
Italy      ;Democratic                                   
England    ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
England    ;Democratic                                   
England    ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
Australia  ;Democratic                                   
England    ;Democratic                                   
Spain      ;Democratic                                   
England    ;Democratic                                   
USA        ;Democratic                                   
England    ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
USA        ;Democratic                                   
Austria    ;Democratic                                   
USA        ;Democratic                                   
Israel     ;Democratic                                   
Wales      ;Democratic                                   
England    ;Democratic                                   
England    ;Democratic                                   
USA        ;Democratic                                   
France     ;Democratic                                   
USA        ;Democratic                                   
France     ;Democratic                                   
USA        ;Democratic                                   
Canada     ;Democratic                                   
USA        ;Democratic                                   
England    ;Democratic                                   
