birthplace;person;year_of_award;start;end;president;party
Moldova    ;Lewis Milestone     ;1927;1923;1929;Calvin Coolidge;Republican                                   
Switzerland;Emil Jannings       ;1929;1929;1933;Herbert Hoover        ;Republican                                   
USA        ;Janet Gaynor        ;1929;1929;1933;Herbert Hoover        ;Republican                                   
Scotland   ;Frank Lloyd         ;1930;1929;1933;Herbert Hoover        ;Republican
England    ;George Arliss       ;1930;1929;1933;Herbert Hoover        ;Republican
USA        ;Warner Baxter       ;1930;1929;1933;Herbert Hoover        ;Republican
Canada     ;Mary Pickford       ;1930;1929;1933;Herbert Hoover        ;Republican
Canada     ;Norma Shearer       ;1930;1929;1933;Herbert Hoover        ;Republican
Moldova    ;Lewis Milestone     ;1931;1929;1933;Herbert Hoover        ;Republican
Canada     ;Marie Dressler      ;1931;1929;1933;Herbert Hoover        ;Republican
USA        ;Lionel Barrymore    ;1931;1929;1933;Herbert Hoover        ;Republican
USA        ;Helen Hayes         ;1932;1929;1933;Herbert Hoover        ;Republican
USA        ;Wallace Beery       ;1932;1929;1933;Herbert Hoover        ;Republican
USA        ;Norman Taurog       ;1932;1929;1933;Herbert Hoover        ;Republican
USA        ;Frank Borzage       ;1933;1933;1945;Franklin D. Roosevelt ;Democratic                                   
USA        ;Katharine Hepburn   ;1934;1933;1945;Franklin D. Roosevelt ;Democratic
Scotland   ;Frank Lloyd         ;1934;1933;1945;Franklin D. Roosevelt ;Democratic
England    ;Charles Laughton    ;1934;1933;1945;Franklin D. Roosevelt ;Democratic
France     ;Claudette Colbert   ;1935;1933;1945;Franklin D. Roosevelt ;Democratic
Italy      ;Frank Capra         ;1935;1933;1945;Franklin D. Roosevelt ;Democratic
USA        ;Clark Gable         ;1935;1933;1945;Franklin D. Roosevelt ;Democratic
USA        ;Bette Davis         ;1936;1933;1945;Franklin D. Roosevelt ;Republican
USA        ;John Ford           ;1936;1933;1945;Franklin D. Roosevelt ;Democratic                                   
England    ;Victor McLaglen     ;1936;1933;1945;Franklin D. Roosevelt ;Democratic
Ukraine    ;Paul Muni           ;1937;1933;1945;Franklin D. Roosevelt ;Democratic
Germany    ;Luise Rainer        ;1937;1933;1945;Franklin D. Roosevelt ;Democratic
USA        ;Gale Sondergaard    ;1937;1933;1945;Franklin D. Roosevelt ;Democratic
Italy      ;Frank Capra         ;1937;1933;1945;Franklin D. Roosevelt ;Democratic
USA        ;Spencer Tracy       ;1938;1933;1945;Franklin D. Roosevelt ;Democratic
Germany    ;Luise Rainer        ;1938;1933;1945;Franklin D. Roosevelt ;Republican
USA        ;Walter Brennan      ;1938;1933;1945;Franklin D. Roosevelt ;Democratic                                   
Austria    ;Joseph Schildkraut  ;1938;1933;1945;Franklin D. Roosevelt ;Democratic
USA        ;Leo McCarey         ;1938;1933;1945;Franklin D. Roosevelt ;Democratic
USA        ;Alice Brady         ;1938;1933;1945;Franklin D. Roosevelt ;Democratic
Italy      ;Frank Capra         ;1939;1933;1945;Franklin D. Roosevelt ;Democratic
USA        ;Bette Davis         ;1939;1933;1945;Franklin D. Roosevelt ;Democratic
USA        ;Walter Brennan      ;1939;1933;1945;Franklin D. Roosevelt ;Democratic
USA        ;Spencer Tracy       ;1939;1933;1945;Franklin D. Roosevelt ;Republican
USA        ;Fay Bainter         ;1939;1933;1945;Franklin D. Roosevelt ;Democratic                                   
India      ;Vivien Leigh        ;1940;1933;1945;Franklin D. Roosevelt ;Democratic
USA        ;Thomas Mitchell     ;1940;1933;1945;Franklin D. Roosevelt ;Democratic
England    ;Robert Donat        ;1940;1933;1945;Franklin D. Roosevelt ;Democratic
Japan      ;Joan Fontaine       ;1940;1933;1945;Franklin D. Roosevelt ;Democratic
USA        ;Victor Fleming      ;1940;1933;1945;Franklin D. Roosevelt ;Democratic
USA        ;Hattie McDaniel     ;1940;1933;1945;Franklin D. Roosevelt ;Democratic
USA        ;Walter Brennan      ;1941;1933;1945;Franklin D. Roosevelt ;Republican
USA        ;John Ford           ;1941;1933;1945;Franklin D. Roosevelt ;Democratic                                   
USA        ;Jimmy Stewart       ;1941;1933;1945;Franklin D. Roosevelt ;Democratic
USA        ;Ginger Rogers       ;1941;1933;1945;Franklin D. Roosevelt ;Democratic
USA        ;Ginger Rogers       ;1941;1933;1945;Franklin D. Roosevelt ;Democratic
USA        ;Jane Darwell        ;1941;1933;1945;Franklin D. Roosevelt ;Democratic
USA        ;John Ford           ;1942;1933;1945;Franklin D. Roosevelt ;Democratic                                   
USA        ;Mary Astor          ;1942;1933;1945;Franklin D. Roosevelt ;Democratic
USA        ;Mary Astor          ;1942;1933;1945;Franklin D. Roosevelt ;Democratic
USA        ;Gary Cooper         ;1942;1933;1945;Franklin D. Roosevelt ;Democratic
England    ;Greer Garson        ;1942;1933;1945;Franklin D. Roosevelt ;Democratic
England    ;Donald Crisp        ;1942;1933;1945;Franklin D. Roosevelt ;Democratic                                   
France     ;William Wyler       ;1943;1933;1945;Franklin D. Roosevelt ;Democratic
USA        ;Van Heflin          ;1943;1933;1945;Franklin D. Roosevelt ;Democratic
USA        ;Teresa Wright       ;1943;1933;1945;Franklin D. Roosevelt ;Democratic
USA        ;James Cagney        ;1943;1933;1945;Franklin D. Roosevelt ;Democratic
USA        ;Van Heflin          ;1943;1933;1945;Franklin D. Roosevelt ;Democratic                                   
Hungary    ;Michael Curtiz      ;1944;1933;1945;Franklin D. Roosevelt ;Democratic                                   
Hungary    ;Paul Lukas          ;1944;1933;1945;Franklin D. Roosevelt ;Democratic
Greece     ;Katina Paxinou      ;1944;1933;1945;Franklin D. Roosevelt ;Democratic
USA        ;Jennifer Jones      ;1944;1933;1945;Franklin D. Roosevelt ;Democratic
USA        ;Charles Coburn      ;1944;1933;1945;Franklin D. Roosevelt ;Democratic
Ireland    ;Barry Fitzgerald    ;1945;1945;1953;Harry S. Truman       ;Democratic                                   
USA        ;Ethel Barrymore     ;1945;1945;1953;Harry S. Truman       ;Democratic                                   
USA        ;Leo McCarey         ;1945;1945;1953;Harry S. Truman       ;Democratic                                   
Sweden     ;Ingrid Bergman      ;1945;1945;1953;Harry S. Truman       ;Democratic                                   
USA        ;Bing Crosby         ;1945;1945;1953;Harry S. Truman       ;Democratic                                   
Austria    ;Billy Wilder        ;1946;1945;1953;Harry S. Truman       ;Democratic                                   
Wales      ;Ray Milland         ;1946;1945;1953;Harry S. Truman       ;Democratic                                   
USA        ;Joan Crawford       ;1946;1945;1953;Harry S. Truman       ;Democratic                                   
USA        ;James Dunn          ;1946;1945;1953;Harry S. Truman       ;Democratic                                   
USA        ;Anne Revere         ;1946;1945;1953;Harry S. Truman       ;Democratic                                   
USA        ;Anne Revere         ;1946;1945;1953;Harry S. Truman       ;Democratic                                   
France     ;William Wyler       ;1947;1945;1953;Harry S. Truman       ;Democratic                                   
Canada     ;Harold Russell      ;1947;1945;1953;Harry S. Truman       ;Democratic                                   
USA        ;Anne Baxter         ;1947;1945;1953;Harry S. Truman       ;Democratic                                   
Japan      ;Olivia de Havilland ;1947;1945;1953;Harry S. Truman       ;Democratic                                   
USA        ;Fredric March       ;1947;1945;1953;Harry S. Truman       ;Democratic                                   
USA        ;Celeste Holm        ;1948;1945;1953;Harry S. Truman       ;Democratic                                   
