Year,Winner,race_ethnicity,count_race
1928,0,White,6
1928,1,White,4
1929,0,White,13
1929,1,White,3
1930,0,White,15
1930,1,White,3
1931,0,White,12
1931,1,White,3
1932,0,White,5
1932,1,White,4
1933,0,White,6
1933,1,White,3
1934,0,White,7
1934,1,White,3
1935,0,Asian,1
1935,0,White,11
1935,1,White,3
1936,0,White,20
1936,1,White,5
1937,0,White,20
1937,1,White,5
1938,0,White,20
1938,1,White,5
1939,1,Black,1
1939,0,White,20
1939,1,White,4
1940,0,White,20
1940,1,White,5
1941,0,White,20
1941,1,White,5
1942,0,White,20
1942,1,White,5
1943,0,White,20
1943,1,White,5
1944,0,White,20
1944,1,White,5
1945,0,White,20
1945,1,White,5
1946,0,White,20
1946,1,White,5
1947,0,White,20
1947,1,White,5
1948,0,Hispa,1
1948,0,White,19
1948,1,White,5
1949,0,Black,1
1949,0,White,19
1949,1,White,5
1950,1,Hispa,1
1950,0,White,20
1950,1,White,4
1951,0,White,20
1951,1,White,5
1952,0,Hispa,1
1952,1,Hispa,1
1952,0,White,19
1952,1,White,4
1953,0,White,20
1953,1,White,5
1954,0,Black,1
1954,0,Hispa,1
1954,0,White,18
1954,1,White,5
1955,0,White,20
1955,1,White,5
1956,1,Hispa,1
1956,0,White,20
1956,1,White,4
1957,0,Asian,1
1957,1,Asian,1
1957,0,Hispa,1
1957,0,White,18
1957,1,White,4
1958,0,Black,1
1958,0,White,19
1958,1,White,5
1959,0,Black,1
1959,0,White,19
1959,1,White,5
1960,0,White,20
1960,1,White,5
1961,1,Hispa,1
1961,0,White,20
1961,1,White,5
1962,0,Arab ,1
1962,0,White,19
1962,1,White,5
1963,1,Black,1
1963,0,White,20
1963,1,White,4
1964,0,Hispa,1
1964,0,White,19
1964,1,White,5
1965,0,Asian,1
1965,0,White,19
1965,1,White,5
1966,0,Asian,1
1966,0,Indig,1
1966,0,White,18
1966,1,White,5
1967,0,Black,2
1967,0,White,18
1967,1,White,5
1968,0,White,19
1968,1,White,6
1969,0,Black,1
1969,0,White,19
1969,1,White,5
1970,0,Black,1
1970,0,Indig,1
1970,0,White,16
1970,1,White,7
1971,0,White,20
1971,1,White,5
1972,0,Black,3
1972,0,White,17
1972,1,White,5
1973,0,White,20
1973,1,White,5
1974,0,Black,1
1974,0,White,19
1974,1,White,5
1975,0,Arab ,1
1975,0,White,19
1975,1,White,5
1976,0,White,20
1976,1,White,5
1977,0,White,20
1977,1,White,5
1978,0,White,21
1978,1,White,5
1979,0,White,20
1979,1,White,5
1980,0,White,20
1980,1,White,5
1981,0,Black,1
1981,0,White,19
1981,1,White,5
1982,1,Asian,1
1982,1,Black,1
1982,0,White,20
1982,1,White,3
1983,0,Black,1
1983,0,White,19
1983,1,White,5
1984,0,Asian,1
1984,1,Asian,1
1984,0,Black,1
1984,0,White,18
1984,1,White,4
1985,0,Asian,2
1985,0,Black,3
1985,0,Hispa,1
1985,0,White,14
1985,1,White,5
1986,0,Black,1
1986,0,White,19
1986,1,White,5
1987,0,Black,2
1987,0,Hispa,1
1987,0,White,17
1987,1,White,5
1988,0,Black,1
1988,0,White,19
1988,1,White,5
1989,0,Arab ,1
1989,0,Black,1
1989,1,Black,1
1989,0,White,18
1989,1,White,4
1990,1,Black,1
1990,0,Hispa,1
1990,0,White,19
1990,1,White,4
1991,0,Asian,1
1991,0,Black,1
1991,0,White,18
1991,1,White,5
1992,0,Black,2
1992,0,White,18
1992,1,White,5
1993,0,Black,2
1993,0,Hispa,1
1993,0,White,17
1993,1,White,5
1994,0,Asian,1
1994,0,Black,2
1994,0,White,17
1994,1,White,5
1995,0,White,20
1995,1,White,5
1996,0,Black,1
1996,1,Black,1
1996,0,White,19
1996,1,White,4
1997,0,Arab ,1
1997,0,White,19
1997,1,White,5
1998,0,Hispa,1
1998,0,White,19
1998,1,White,5
1999,0,Asian,1
1999,0,Black,2
1999,0,White,17
1999,1,White,5
2000,0,Asian,1
2000,1,Hispa,1
2000,0,White,19
2000,1,White,4
2001,0,Asian,1
2001,0,Black,1
2001,1,Black,2
2001,0,White,18
2001,1,White,3
2002,0,Black,1
2002,0,Hispa,1
2002,0,White,18
2002,1,White,5
2003,0,Arab ,1
2003,0,Asian,2
2003,0,Black,1
2003,0,Hispa,1
2003,0,White,15
2003,1,White,5
2004,0,Black,3
2004,1,Black,2
2004,0,Hispa,1
2004,0,White,16
2004,1,White,3
2005,1,Asian,1
2005,0,Black,1
2005,0,White,19
2005,1,White,4
2006,0,Asian,1
2006,0,Black,3
2006,1,Black,2
2006,0,Hispa,1
2006,0,White,15
2006,1,White,3
2007,0,Black,1
2007,0,White,19
2007,1,White,5
2008,0,Black,2
2008,0,White,18
2008,1,White,5
2009,0,Black,3
2009,1,Black,1
2009,0,White,17
2009,1,White,4
2010,0,White,20
2010,1,White,5
2011,0,Black,1
2011,1,Black,1
2011,0,Hispa,2
2011,0,White,17
2011,1,White,4
2012,1,Asian,1
2012,0,Black,2
2012,0,White,18
2012,1,White,4
2013,0,Black,2
2013,1,Black,1
2013,0,White,18
2013,1,White,4
2014,0,White,20
2014,1,White,5
2015,0,White,20
2015,1,White,5
