race_ethnicity;party
Arab ;Democratic                                   
Arab ;Democratic                                   
Arab ;Republican                                   
Arab ;Republican                                   
Arab ;Republican                                   
Arab ;Republican                                   
Asian;Democratic                                   
Asian;Democratic                                   
Asian;Democratic                                   
Asian;Democratic                                   
Asian;Democratic                                   
Asian;Democratic                                   
Asian;Republican                                   
Asian;Republican                                   
Asian;Republican                                   
Asian;Republican                                   
Asian;Republican                                   
Asian;Republican                                   
Asian;Republican                                   
Asian;Republican                                   
Asian;Republican                                   
Asian;Republican                                   
Asian;Republican                                   
Asian;Republican                                   
Asian;Republican                                   
Black;Democratic                                   
Black;Democratic                                   
Black;Democratic                                   
Black;Democratic                                   
Black;Democratic                                   
Black;Democratic                                   
Black;Democratic                                   
Black;Democratic                                   
Black;Democratic                                   
Black;Democratic                                   
Black;Democratic                                   
Black;Democratic                                   
Black;Democratic                                   
Black;Democratic                                   
Black;Democratic                                   
Black;Democratic                                   
Black;Democratic                                   
Black;Democratic                                   
Black;Democratic                                   
Black;Democratic                                   
Black;Democratic                                   
Black;Democratic                                   
Black;Democratic                                   
Black;Democratic                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Black;Republican                                   
Hispa;Democratic                                   
Hispa;Democratic                                   
Hispa;Democratic                                   
Hispa;Democratic                                   
Hispa;Democratic                                   
Hispa;Democratic                                   
Hispa;Democratic                                   
Hispa;Democratic                                   
Hispa;Democratic                                   
Hispa;Democratic                                   
Hispa;Democratic                                   
Hispa;Republican                                   
Hispa;Republican                                   
Hispa;Republican                                   
Hispa;Republican                                   
Hispa;Republican                                   
Hispa;Republican                                   
Hispa;Republican                                   
Hispa;Republican                                   
Hispa;Republican                                   
Hispa;Republican                                   
Indig;Democratic                                   
Indig;Republican                                   
Indo ;Democratic                                   
Irish;Democratic                                   
Irish;Republican                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
White;Democratic                                   
