Year;race_ethnicity;date;milestone
1928;White;;
1928;White;;
1928;White;;
1928;White;;
1928;White;;
1928;White;;
1928;White;;
1928;White;;
1928;White;;
1928;White;;
1929;White;;
1929;White;;
1929;White;;
1929;White;;
1929;White;;
1929;White;;
1929;White;;
1929;White;;
1929;White;;
1929;White;;
1929;White;;
1929;White;;
1929;White;;
1929;White;;
1929;White;;
1929;White;;
1930;White;;
1930;White;;
1930;White;;
1930;White;;
1930;White;;
1930;White;;
1930;White;;
1930;White;;
1930;White;;
1930;White;;
1930;White;;
1930;White;;
1930;White;;
1930;White;;
1930;White;;
1930;White;;
1930;White;;
1930;White;;
1931;White;;
1931;White;;
1931;White;;
1931;White;;
1931;White;;
1931;White;;
1931;White;;
1931;White;;
1931;White;;
1931;White;;
1931;White;;
1931;White;;
1931;White;;
1931;White;;
1931;White;;
1932;White;;
1932;White;;
1932;White;;
1932;White;;
1932;White;;
1932;White;;
1932;White;;
1932;White;;
1932;White;;
1933;White;;
1933;White;;
1933;White;;
1933;White;;
1933;White;;
1933;White;;
1933;White;;
1933;White;;
1933;White;;
1934;White;;
1934;White;;
1934;White;;
1934;White;;
1934;White;;
1934;White;;
1934;White;;
1934;White;;
1934;White;;
1934;White;;
1935;White;;
1935;White;;
1935;White;;
1935;White;;
1935;White;;
1935;White;;
1935;White;;
1935;White;;
1935;White;;
1935;Asian;;
1935;White;;
1935;White;;
1935;White;;
1935;White;;
1935;White;;
1936;White;;
1936;White;;
1936;White;;
1936;White;;
1936;White;;
1936;White;;
1936;White;;
1936;White;;
1936;White;;
1936;White;;
1936;White;;
1936;White;;
1936;White;;
1936;White;;
1936;White;;
1936;White;;
1936;White;;
1936;White;;
1936;White;;
1936;White;;
1936;White;;
1936;White;;
1936;White;;
1936;White;;
1936;White;;
1937;White;;
1937;White;;
1937;White;;
1937;White;;
1937;White;;
1937;White;;
1937;White;;
1937;White;;
1937;White;;
1937;White;;
1937;White;;
1937;White;;
1937;White;;
1937;White;;
1937;White;;
1937;White;;
1937;White;;
1937;White;;
1937;White;;
1937;White;;
1937;White;;
1937;White;;
1937;White;;
1937;White;;
1937;White;;
1938;White;;
1938;White;;
1938;White;;
1938;White;;
1938;White;;
1938;White;;
1938;White;;
1938;White;;
1938;White;;
1938;White;;
1938;White;;
1938;White;;
1938;White;;
1938;White;;
1938;White;;
1938;White;;
1938;White;;
1938;White;;
1938;White;;
1938;White;;
1938;White;;
1938;White;;
1938;White;;
1938;White;;
1938;White;;
1939;White;;
1939;White;;
1939;White;;
1939;White;;
1939;White;;
1939;White;;
1939;White;;
1939;White;;
1939;White;;
1939;White;;
1939;White;;
1939;White;;
1939;White;;
1939;White;;
1939;White;;
1939;White;;
1939;White;;
1939;Black;;
1939;White;;
1939;White;;
1939;White;;
1939;White;;
1939;White;;
1939;White;;
1939;White;;
1940;White;;
1940;White;;
1940;White;;
1940;White;;
1940;White;;
1940;White;;
1940;White;;
1940;White;;
1940;White;;
1940;White;;
1940;White;;
1940;White;;
1940;White;;
1940;White;;
1940;White;;
1940;White;;
1940;White;;
1940;White;;
1940;White;;
1940;White;;
1940;White;;
1940;White;;
1940;White;;
1940;White;;
1940;White;;
1941;White;1941;African–Americans in WWII                             
1941;White;1941;African–Americans in WWII                             
1941;White;1941;African–Americans in WWII                             
1941;White;1941;African–Americans in WWII                             
1941;White;1941;African–Americans in WWII                             
1941;White;1941;African–Americans in WWII                             
1941;White;1941;African–Americans in WWII                             
1941;White;1941;African–Americans in WWII                             
1941;White;1941;African–Americans in WWII                             
1941;White;1941;African–Americans in WWII                             
1941;White;1941;African–Americans in WWII                             
1941;White;1941;African–Americans in WWII                             
1941;White;1941;African–Americans in WWII                             
1941;White;1941;African–Americans in WWII                             
1941;White;1941;African–Americans in WWII                             
1941;White;1941;African–Americans in WWII                             
1941;White;1941;African–Americans in WWII                             
1941;White;1941;African–Americans in WWII                             
1941;White;1941;African–Americans in WWII                             
1941;White;1941;African–Americans in WWII                             
1941;White;1941;African–Americans in WWII                             
1941;White;1941;African–Americans in WWII                             
1941;White;1941;African–Americans in WWII                             
1941;White;1941;African–Americans in WWII                             
1941;White;1941;African–Americans in WWII                             
1942;White;;
1942;White;;
1942;White;;
1942;White;;
1942;White;;
1942;White;;
1942;White;;
1942;White;;
1942;White;;
1942;White;;
1942;White;;
1942;White;;
1942;White;;
1942;White;;
1942;White;;
1942;White;;
1942;White;;
1942;White;;
1942;White;;
1942;White;;
1942;White;;
1942;White;;
1942;White;;
1942;White;;
1942;White;;
1943;White;;
1943;White;;
1943;White;;
1943;White;;
1943;White;;
1943;White;;
1943;White;;
1943;White;;
1943;White;;
1943;White;;
