Year;Award;Winner;Film;Name
1928/1929;Directing                   ;;Madame X                                                  ;Lionel Barrymore               
1928/1929;Directing                   ;;The Broadway Melody                                       ;Harry Beaumont                 
1928/1929;Directing                   ;;In Old Arizona                                            ;Irving Cummings                
1928/1929;Directing                   ;1;The Divine Lady                                           ;Frank Lloyd                    
1928/1929;Directing                   ;;"Drag; and Weary River                                     ";Frank Lloyd                    
1928/1929;Directing                   ;;The Patriot                                               ;Ernst Lubitsch                 
1929/1930;Directing                   ;;"Anna Christie; and Romance                                ";Clarence Brown                 
1929/1930;Directing                   ;;The Divorcee                                              ;Robert Leonard                 
1929/1930;Directing                   ;;The Love Parade                                           ;Ernst Lubitsch                 
1929/1930;Directing                   ;1;All Quiet on the Western Front                            ;Lewis Milestone                
1929/1930;Directing                   ;;Hallelujah    ;King Vidor                                                
1930/1931;Directing                   ;;Cimarron                       ;Wesley Ruggles                                            
1930/1931;Directing                   ;;A Free Soul                    ;Clarence Brown                                            
1930/1931;Directing                   ;;The Front Page                 ;Lewis Milestone                                           
1930/1931;Directing                   ;;Morocco                        ;Josef Von Sternberg                                       
1930/1931;Directing                   ;1;Skippy                         ;Norman Taurog                                             
1931/1932;Directing                   ;1;Bad Girl                       ;Frank Borzage                                             
1931/1932;Directing                   ;;The Champ                      ;King Vidor                                                
1931/1932;Directing                   ;;Shanghai Express               ;Josef Von Sternberg                                       
1932/1933;Directing                   ;1;Cavalcade                      ;Frank Lloyd                                               
1932/1933;Directing                   ;;Lady for a Day                 ;Frank Capra [Second]                                      
1932/1933;Directing                   ;;Little Women                   ;George Cukor [Third]                                      
1934;Directing                   ;1;It Happened One Night          ;Frank Capra                                               
1934;Directing                   ;;One Night of Love              ;Victor Schertzinger [Third]                               
1934;Directing                   ;;The Thin Man                   ;W. S. Van Dyke [Second]                                   
1935;Directing                   ;;Captain Blood                  ;Michael Curtiz [Second]                                   
1935;Directing                   ;1;The Informer                   ;John Ford                                                 
1935;Directing                   ;;The Lives of a Bengal Lancer   ;Henry Hathaway [Third]                                    
1935;Directing                   ;;Mutiny on the Bounty           ;Frank Lloyd                                               
1936;Directing                   ;;Dodsworth                      ;William Wyler                                             
1936;Directing                   ;;The Great Ziegfeld             ;Robert Z. Leonard                                         
1936;Directing                   ;1;Mr. Deeds Goes to Town         ;Frank Capra                                               
1936;Directing                   ;;My Man Godfrey                 ;Gregory La Cava                                           
1936;Directing                   ;;San Francisco                  ;W. S. Van Dyke                                            
1937;Directing                   ;1;The Awful Truth                ;Leo McCarey                                               
1937;Directing                   ;;The Good Earth                 ;Sidney Franklin                                           
1937;Directing                   ;;The Life of Emile Zola         ;William Dieterle                                          
1937;Directing                   ;;Stage Door                     ;Gregory La Cava                                           
1937;Directing                   ;;A Star Is Born                 ;William Wellman                                           
1938;Directing                   ;;Angels with Dirty Faces        ;Michael Curtiz                                            
1938;Directing                   ;;Boys Town                      ;Norman Taurog                                             
1938;Directing                   ;;The Citadel                    ;King Vidor                                                
1938;Directing                   ;;Four Daughters                 ;Michael Curtiz                                            
1938;Directing                   ;1;You Can't Take It with You     ;Frank Capra                                               
1939;Directing                   ;1;Gone with the Wind             ;Victor Fleming                                            
1939;Directing                   ;;Goodbye, Mr. Chips             ;Sam Wood                                                  
1939;Directing                   ;;Mr. Smith Goes to Washington   ;Frank Capra                                               
1939;Directing                   ;;Stagecoach                     ;John Ford                                                 
1939;Directing                   ;;Wuthering Heights              ;William Wyler                                             
1940;Directing                   ;1;The Grapes of Wrath            ;John Ford                                                 
1940;Directing                   ;;Kitty Foyle                    ;Sam Wood                                                  
1940;Directing                   ;;The Letter                     ;William Wyler                                             
1940;Directing                   ;;The Philadelphia Story         ;George Cukor                                              
1940;Directing                   ;;Rebecca                        ;Alfred Hitchcock                                          
1941;Directing                   ;;Citizen Kane                   ;Orson Welles                                              
1941;Directing                   ;;Here Comes Mr. Jordan          ;Alexander Hall                                            
1941;Directing                   ;1;How Green Was My Valley        ;John Ford                                                 
1941;Directing                   ;;The Little Foxes               ;William Wyler                                             
1941;Directing                   ;;Sergeant York                  ;Howard Hawks                                              
1942;Directing                   ;;Kings Row                      ;Sam Wood                                                  
1942;Directing                   ;1;Mrs. Miniver                   ;William Wyler                                             
1942;Directing                   ;;Random Harvest                 ;Mervyn LeRoy                                              
1942;Directing                   ;;Wake Island                    ;John Farrow                                               
