birthplace;person;year_of_award
Moldova    ;Lewis Milestone     ;1927
Switzerland;Emil Jannings       ;1929
USA        ;Janet Gaynor        ;1929
Scotland   ;Frank Lloyd         ;1930
England    ;George Arliss       ;1930
USA        ;Warner Baxter       ;1930
Canada     ;Mary Pickford       ;1930
Canada     ;Norma Shearer       ;1930
Moldova    ;Lewis Milestone     ;1931
Canada     ;Marie Dressler      ;1931
USA        ;Lionel Barrymore    ;1931
USA        ;Helen Hayes         ;1932
USA        ;Wallace Beery       ;1932
USA        ;Norman Taurog       ;1932
USA        ;Frank Borzage       ;1933
USA        ;Katharine Hepburn   ;1934
Scotland   ;Frank Lloyd         ;1934
England    ;Charles Laughton    ;1934
France     ;Claudette Colbert   ;1935
Italy      ;Frank Capra         ;1935
USA        ;Clark Gable         ;1935
USA        ;Bette Davis         ;1936
USA        ;John Ford           ;1936
England    ;Victor McLaglen     ;1936
Ukraine    ;Paul Muni           ;1937
Germany    ;Luise Rainer        ;1937
USA        ;Gale Sondergaard    ;1937
Italy      ;Frank Capra         ;1937
USA        ;Spencer Tracy       ;1938
Germany    ;Luise Rainer        ;1938
USA        ;Walter Brennan      ;1938
Austria    ;Joseph Schildkraut  ;1938
USA        ;Leo McCarey         ;1938
USA        ;Alice Brady         ;1938
Italy      ;Frank Capra         ;1939
USA        ;Bette Davis         ;1939
USA        ;Walter Brennan      ;1939
USA        ;Spencer Tracy       ;1939
USA        ;Fay Bainter         ;1939
India      ;Vivien Leigh        ;1940
USA        ;Thomas Mitchell     ;1940
England    ;Robert Donat        ;1940
Japan      ;Joan Fontaine       ;1940
USA        ;Victor Fleming      ;1940
USA        ;Hattie McDaniel     ;1940
USA        ;Walter Brennan      ;1941
USA        ;John Ford           ;1941
USA        ;Jimmy Stewart       ;1941
USA        ;Ginger Rogers       ;1941
USA        ;Ginger Rogers       ;1941
USA        ;Jane Darwell        ;1941
USA        ;John Ford           ;1942
USA        ;Mary Astor          ;1942
USA        ;Mary Astor          ;1942
USA        ;Gary Cooper         ;1942
England    ;Greer Garson        ;1942
England    ;Donald Crisp        ;1942
France     ;William Wyler       ;1943
USA        ;Van Heflin          ;1943
USA        ;Teresa Wright       ;1943
USA        ;James Cagney        ;1943
USA        ;Van Heflin          ;1943
Hungary    ;Michael Curtiz      ;1944
Hungary    ;Paul Lukas          ;1944
Greece     ;Katina Paxinou      ;1944
USA        ;Jennifer Jones      ;1944
USA        ;Charles Coburn      ;1944
Ireland    ;Barry Fitzgerald    ;1945
USA        ;Ethel Barrymore     ;1945
USA        ;Leo McCarey         ;1945
Sweden     ;Ingrid Bergman      ;1945
USA        ;Bing Crosby         ;1945
Austria    ;Billy Wilder        ;1946
Wales      ;Ray Milland         ;1946
USA        ;Joan Crawford       ;1946
USA        ;James Dunn          ;1946
USA        ;Anne Revere         ;1946
USA        ;Anne Revere         ;1946
France     ;William Wyler       ;1947
Canada     ;Harold Russell      ;1947
USA        ;Anne Baxter         ;1947
Japan      ;Olivia de Havilland ;1947
USA        ;Fredric March       ;1947
USA        ;Celeste Holm        ;1948
USA        ;Loretta Young       ;1948
Wales      ;Edmund Gwenn        ;1948
England    ;Ronald Colman       ;1948
Turkey     ;Elia Kazan          ;1948
USA        ;Jane Wyman          ;1949
USA        ;Claire Trevor       ;1949
England    ;Laurence Olivier    ;1949
Canada     ;Walter Huston       ;1949
USA        ;John Huston         ;1949
USA        ;John Huston         ;1949
USA        ;Broderick Crawford  ;1950
USA        ;Dean Jagger         ;1950
USA        ;Mercedes McCambridge;1950
Japan      ;Olivia de Havilland ;1950
USA        ;Joseph L. Mankiewicz;1950
Puerto Rico;Jose Ferrer         ;1951
Russia     ;George Sanders      ;1951
USA        ;Judy Holliday       ;1951
USA        ;Josephine Hull      ;1951
USA        ;Joseph L. Mankiewicz;1951
USA        ;Kim Hunter          ;1952
India      ;Vivien Leigh        ;1952
USA        ;Karl Malden         ;1952
USA        ;George Stevens      ;1952
USA        ;Humphrey Bogart     ;1952
USA        ;Gloria Grahame      ;1953
USA        ;Gary Cooper         ;1953
Mexico     ;Anthony Quinn       ;1953
USA        ;John Ford           ;1953
USA        ;Gary Cooper         ;1953
USA        ;Shirley Booth       ;1953
USA        ;William Holden      ;1954
USA        ;Donna Reed          ;1954
Belgium    ;Audrey Hepburn      ;1954
USA        ;Frank Sinatra       ;1954
Austria    ;Fred Zinnemann      ;1954
USA        ;Marlon Brando       ;1955
Turkey     ;Elia Kazan          ;1955
USA        ;Eva Marie Saint     ;1955
USA        ;Grace Kelly         ;1955
USA        ;Edmond O'Brien      ;1955
USA        ;Delbert Mann        ;1956
Italy      ;Anna Magnani        ;1956
USA        ;Jo Van Fleet        ;1956
USA        ;Jack Lemmon         ;1956
USA        ;Ernest Borgnine     ;1956
Mexico     ;Anthony Quinn       ;1957
Russia     ;Yul Brynner         ;1957
USA        ;Dorothy Malone      ;1957
Sweden     ;Ingrid Bergman      ;1957
USA        ;George Stevens      ;1957
Japan      ;Miyoshi Umeki       ;1958
USA        ;Red Buttons         ;1958
England    ;Alec Guinness       ;1958
USA        ;Joanne Woodward     ;1958
USA        ;Joanne Woodward     ;1958
England    ;David Lean          ;1958
USA        ;Vincente Minnelli   ;1959
England    ;Wendy Hiller        ;1959
USA        ;Burl Ives           ;1959
England    ;David Niven         ;1959
USA        ;Susan Hayward       ;1959
Wales      ;Hugh Griffith       ;1960
Germany    ;Simone Signoret     ;1960
USA        ;Shelley Winters     ;1960
France     ;William Wyler       ;1960
USA        ;Charlton Heston     ;1960
Austria    ;Billy Wilder        ;1961
USA        ;Robert Wise         ;1961
USA        ;Shirley Jones       ;1961
USA        ;Burt Lancaster      ;1961
Austria    ;Billy Wilder        ;1961
England    ;Elizabeth Taylor    ;1961
England    ;Peter Ustinov       ;1961
USA        ;George Chakiris     ;1962
Italy      ;Sophia Loren        ;1962
Puerto Rico;Rita Moreno         ;1962
Austria    ;Maximilian Schell   ;1962
USA        ;Jerome Robbins      ;1962
England    ;David Lean          ;1963
USA        ;Anne Bancroft       ;1963
USA        ;Patty Duke          ;1963
USA        ;Gregory Peck        ;1963
USA        ;Patricia Neal       ;1964
USA        ;Melvyn Douglas      ;1964
USA        ;Sidney Poitier      ;1964
England    ;Margaret Rutherford ;1964
England    ;Tony Richardson     ;1964
England    ;Rex Harrison        ;1965
England    ;Julie Andrews       ;1965
Russia     ;Lila Kedrova        ;1965
England    ;Peter Ustinov       ;1965
USA        ;George Cukor        ;1965
USA        ;Robert Wise         ;1966
USA        ;Lee Marvin          ;1966
India      ;Julie Christie      ;1966
USA        ;Martin Balsam       ;1966
USA        ;Shelley Winters     ;1966
USA        ;Walter Matthau      ;1967
USA        ;Sandy Dennis        ;1967
England    ;Elizabeth Taylor    ;1967
England    ;Paul Scofield       ;1967
England    ;Elizabeth Taylor    ;1967
Austria    ;Fred Zinnemann      ;1967
USA        ;Estelle Parsons     ;1968
USA        ;Rod Steiger         ;1968
USA        ;Katharine Hepburn   ;1968
USA        ;George Kennedy      ;1968
Germany    ;Mike Nichols        ;1968
USA        ;Jack Albertson      ;1969
USA        ;Barbra Streisand    ;1969
USA        ;Katharine Hepburn   ;1969
England    ;Carol Reed          ;1969
USA        ;Cliff Robertson     ;1969
USA        ;Ruth Gordon         ;1969
USA        ;Jack Albertson      ;1969
England    ;John Schlesinger    ;1969
USA        ;John Wayne          ;1970
