Year,Winner,count_white,count_black,count_asian,count_hispa,count_arab,count_indig
1928,0,6,0,0,0,0,0
1928,1,4,0,0,0,0,0
1929,0,13,0,0,0,0,0
1929,1,3,0,0,0,0,0
1930,0,15,0,0,0,0,0
1930,1,3,0,0,0,0,0
1931,0,12,0,0,0,0,0
1931,1,3,0,0,0,0,0
1932,0,5,0,0,0,0,0
1932,1,4,0,0,0,0,0
1933,0,6,0,0,0,0,0
1933,1,3,0,0,0,0,0
1934,0,7,0,0,0,0,0
1934,1,3,0,0,0,0,0
1935,0,11,0,1,0,0,0
1935,1,3,0,0,0,0,0
1936,0,20,0,0,0,0,0
1936,1,5,0,0,0,0,0
1937,0,20,0,0,0,0,0
1937,1,5,0,0,0,0,0
1938,0,20,0,0,0,0,0
1938,1,5,0,0,0,0,0
1939,0,20,0,0,0,0,0
1939,1,4,1,0,0,0,0
1940,0,20,0,0,0,0,0
1940,1,5,0,0,0,0,0
1941,0,20,0,0,0,0,0
1941,1,5,0,0,0,0,0
1942,0,20,0,0,0,0,0
1942,1,5,0,0,0,0,0
1943,0,20,0,0,0,0,0
1943,1,5,0,0,0,0,0
1944,0,20,0,0,0,0,0
1944,1,5,0,0,0,0,0
1945,0,20,0,0,0,0,0
1945,1,5,0,0,0,0,0
1946,0,20,0,0,0,0,0
1946,1,5,0,0,0,0,0
1947,0,20,0,0,0,0,0
1947,1,5,0,0,0,0,0
1948,0,19,0,0,1,0,0
1948,1,5,0,0,0,0,0
1949,0,19,1,0,0,0,0
1949,1,5,0,0,0,0,0
1950,0,20,0,0,0,0,0
1950,1,4,0,0,1,0,0
1951,0,20,0,0,0,0,0
1951,1,5,0,0,0,0,0
1952,0,19,0,0,1,0,0
1952,1,4,0,0,1,0,0
1953,0,20,0,0,0,0,0
1953,1,5,0,0,0,0,0
1954,0,18,1,0,1,0,0
1954,1,5,0,0,0,0,0
1955,0,20,0,0,0,0,0
1955,1,5,0,0,0,0,0
1956,0,20,0,0,0,0,0
1956,1,4,0,0,1,0,0
1957,0,18,0,1,1,0,0
1957,1,4,0,1,0,0,0
