"Best Actress in a Leading Role","Best Actress in a Leading Role","Best Actress in a Leading Role","Best Actress in a Leading Role","Best Actress in a Leading Role","Best Actress in a Leading Role","Best Actress in a Leading Role","Best Actress in a Leading Role"
"Year","Name","Film","Role","Status","Milestone","Demographic","Reference"
"1929/30","Greta Garbo","Anna Christie","Anna Christie","Nominated","","Bisexual",""
"1929/30","Greta Garbo","Romance","Rita Cavallini","Nominated","","Bisexual",""
"1930/31","Marlene Dietrich","Morocco","Mademoiselle Amy Jolly","Nominated","","Bisexual",""
"1937","Greta Garbo","Camille","Marguerite Gautier","Nominated","","Bisexual",""
"1939","Greta Garbo","Ninotchka","Nina Ivanovna ""Ninotchka"" Yakushova","Nominated","","Bisexual",""
"1988","Jodie Foster","The Accused","Sarah Tobias","Won","","Lesbian or Bisexual",""
"1991","Jodie Foster","The Silence of the Lambs","Clarice Starling","Won","First LGBT winner of two acting Oscars","Lesbian or Bisexual",""
"1994","Jodie Foster","Nell","Nell Kellty","Nominated","","Lesbian or Bisexual",""
"2007","Ellen Page","Juno","Juno MacGuff","Nominated","","Lesbian",""
"2008","Angelina Jolie","Changeling","Christine Collins","Nominated","","Bisexual",""
"2018","Lady Gaga","A Star Is Born","Ally Maine","Nominated","","Bisexual",""
