"Academy Award for Best Director","Academy Award for Best Director","Academy Award for Best Director","Academy Award for Best Director","Academy Award for Best Director","Academy Award for Best Director","Academy Award for Best Director"
"Year","Name","Film","Status","Milestone","Demographic","Reference"
"1932/33","George Cukor","Little Women","Nominated","","Gay",""
"1940","George Cukor","The Philadelphia Story","Nominated","","Gay",""
"1947","George Cukor","A Double Life","Nominated","","Gay",""
"1950","George Cukor","Born Yesterday","Nominated","","Gay",""
"1951","Vincente Minnelli","An American in Paris","Nominated","","Bisexual",""
"1953","Charles Walters","Lili","Nominated","","Gay",""
"1958","Vincente Minnelli","Gigi","Won","","Bisexual",""
"1961","Jerome Robbins","West Side Story","Won","","Gay",""
"1963","Tony Richardson","Tom Jones","Won","","Bisexual",""
"1964","George Cukor","My Fair Lady","Won","","Gay",""
"1964","Peter Glenville","Becket","Nominated","","Gay",""
"1965","John Schlesinger","Darling","Nominated","","Gay",""
"1968","Franco Zeffirelli","Romeo and Juliet","Nominated","","Gay",""
"1969","John Schlesinger","Midnight Cowboy","Won","","Gay",""
"1971","John Schlesinger","Sunday Bloody Sunday","Nominated","","Gay",""
"1986","James Ivory","A Room with a View","Nominated","","Gay",""
"1992","James Ivory","Howards End","Nominated","","Gay",""
"1993","James Ivory","The Remains of the Day","Nominated","","Gay",""
"1997","Gus Van Sant","Good Will Hunting","Nominated","","Gay",""
"2000","Stephen Daldry","Billy Elliot","Nominated","","Gay",""
"2002","Pedro Almodóvar","Talk to Her","Nominated","","Gay",""
"2002","Stephen Daldry","The Hours","Nominated","","Gay",""
"2002","Rob Marshall","Chicago","Nominated","","Gay",""
"2008","Stephen Daldry","The Reader","Nominated","","Gay",""
"2008","Gus Van Sant","Milk","Nominated","","Gay",""
"2009","Lee Daniels","Precious","Nominated","First African-American LGBT nominee for Best Director","Gay",""
