"Academy Award for Best Film Editing","Academy Award for Best Film Editing","Academy Award for Best Film Editing","Academy Award for Best Film Editing","Academy Award for Best Film Editing","Academy Award for Best Film Editing","Academy Award for Best Film Editing"
"Year","Name","Film","Status","Milestone","Demographic","Reference"
"1961","William H. Reynolds","Fanny","Nominated","","Gay",""
"1965","William H. Reynolds","The Sound of Music","Won","","Gay",""
"1966","William H. Reynolds","The Sand Pebbles","Nominated","","Gay",""
"1969","William H. Reynolds","Hello, Dolly!","Nominated","","Gay",""
"1972","William H. Reynolds","The Godfather","Nominated","","Gay",""
"1973","William H. Reynolds","The Sting","Won","","Gay",""
"1977","William H. Reynolds","The Turning Point","Nominated","","Gay",""
"2017","Tatiana S. Riegel","I, Tonya","Nominated","","Lesbian",""
"2018","John Ottman","Bohemian Rhapsody","Won","","Gay",""
