"Academy Award for Best Original Song","Academy Award for Best Original Song","Academy Award for Best Original Song","Academy Award for Best Original Song","Academy Award for Best Original Song","Academy Award for Best Original Song","Academy Award for Best Original Song","Academy Award for Best Original Song"
"Year","Name","Film","Song","Status","Milestone","Demographic","Reference"
"1936","Cole Porter","Born to Dance","""I've Got You Under My Skin""","Nominated","","Gay",""
"1940","Roger Edens","Strike Up the Band","""Our Love Affair""","Nominated","","Gay",""
"1941","Cole Porter","You'll Never Get Rich","""Since I Kissed My Baby Goodbye""","Nominated","","Gay",""
"1943","Cole Porter","Something to Shout About","""You'd Be So Nice to Come Home To""","Nominated","","Gay",""
"1947","Roger Edens","Good News","""Pass That Peace Pipe""","Nominated","","Gay",""
"1956","Cole Porter","High Society","""True Love""","Nominated","","Gay",""
"1958","Frederick Loewe","Gigi","""Gigi""","Won","","Gay",""
"1960","Manos Hatzidakis","Never on Sunday","""Never on Sunday""","Won","","Gay",""
"1965","Jacques Demy","The Umbrellas of Cherbourg","""I Will Wait for You""","Nominated","","Bisexual",""
"1969","Rod McKuen","The Prime of Miss Jean Brodie","""Jean""","Nominated","","Queer",""
"1974","Frederick Loewe","The Little Prince","""Little Prince""","Nominated","","Gay",""
"1975","John Kander","Funny Lady","""How Lucky Can You Get""","Nominated","","Gay",""
"1978","Paul Jabara","Thank God It's Friday","""Last Dance""","Won","","Gay",""
"1980","Lesley Gore","Fame","""Out Here on My Own""","Nominated","First openly LGBT+ woman to be nominated in any Oscar category","Lesbian",""
"1982","Peter Allen (co-writer)","Arthur","""Arthur's Theme (Best That You Can Do)""","Won","","Gay",""
"1986","Howard Ashman","Little Shop of Horrors","""Mean Green Mother from Outer Space""","Nominated","","Gay",""
"1989","Howard Ashman","The Little Mermaid","""Kiss the Girl""","Nominated","","Gay",""
"1989","Howard Ashman","The Little Mermaid","""Under the Sea""","Won","","Gay",""
"1990","Stephen Sondheim","Dick Tracy","""Sooner or Later""","Won","","Gay",""
"1991","Howard Ashman","Beauty and the Beast","""Be Our Guest""","Nominated","Only AIDS victim to be given both a posthumous award and nominations.","Gay",""
"1991","Howard Ashman","Beauty and the Beast","""Beauty and the Beast""","Won","Only AIDS victim to be given both a posthumous award and nominations.","Gay",""
"1991","Howard Ashman","Beauty and the Beast","""Belle""","Nominated","Only AIDS victim to be given both a posthumous award and nominations.","Gay",""
"1992","Howard Ashman","Aladdin","""Friend Like Me""","Nominated","Only AIDS victim to be given both a posthumous award and nominations.","Gay",""
"1993","Marc Shaiman","Sleepless in Seattle","""A Wink and a Smile""","Nominated","","Gay",""
"1994","Elton John","The Lion King","""Can You Feel the Love Tonight""","Won","","Gay",""
"1994","Elton John","The Lion King","""Circle of Life""","Nominated","","Gay",""
"1994","Elton John","The Lion King","""Hakuna Matata""","Nominated","","Gay",""
"1999","Marc Shaiman","South Park: Bigger, Longer & Uncut","""Blame Canada""","Nominated","","Gay",""
"2000","Björk","Dancer in the Dark","""I've Seen It All""","Nominated","","Queer",""
"2002","John Kander","Chicago","""I Move On""","Nominated","","Gay",""
"2006","Melissa Etheridge","An Inconvenient Truth","""I Need to Wake Up""","Won","First openly lesbian winner for Original Song","Lesbian",""
"2006","Henry Krieger","Dreamgirls","""Listen""","Nominated","","Queer",""
"2006","Henry Krieger","Dreamgirls","""Love You I Do""","Nominated","","Queer",""
"2006","Henry Krieger","Dreamgirls","""Patience""","Nominated","","Queer",""
"2015","Anohni","Racing Extinction","""Manta Ray""","Nominated","First openly transgender person nominated for Original Song","Transgender",""
"2015","Lady Gaga","The Hunting Ground","""Til It Happens to You""","Nominated","","Bisexual",""
"2015","Sam Smith","Spectre","""Writing's on the Wall""","Won","","Gay",""
"2016","Benj Pasek","La La Land","""Audition (The Fools Who Dream)""","Nominated","","Gay",""
"2016","Benj Pasek","La La Land","""City of Stars""","Won","","Gay",""
"2017","Benj Pasek","The Greatest Showman","""This Is Me""","Nominated","","Gay",""
"2018","Lady Gaga","A Star Is Born","""Shallow""","Won","First openly bisexual winner for Original Song","Bisexual",""
"2018","Marc Shaiman","Mary Poppins Returns","""The Place Where Lost Things Go""","Nominated","","Gay",""
"2018","Scott Wittman","Mary Poppins Returns","""The Place Where Lost Things Go""","Nominated","","Gay",""
