"Academy Award for Best Production Design","Academy Award for Best Production Design","Academy Award for Best Production Design","Academy Award for Best Production Design","Academy Award for Best Production Design","Academy Award for Best Production Design"
"Year","Name","Film","Status","Milestone","Reference"
"1936","Edwin B. Willis","The Great Ziegfeld","Nominated","",""
"1936","Edwin B. Willis","Romeo and Juliet","Nominated","",""
"1941","Howard Bristol","The Little Foxes","Nominated","",""
"1941","Samuel M. Comer","Hold Back the Dawn","Nominated","",""
"1941","Edwin B. Willis","Blossoms in the Dust","Won","",""
"1941","Edwin B. Willis","When Ladies Meet","Nominated","",""
"1942","Howard Bristol","The Pride of the Yankees","Nominated","",""
"1942","Samuel M. Comer","Take a Letter, Darling","Nominated","",""
"1942","Jack D. Moore","Random Harvest","Nominated","",""
"1942","Edwin B. Willis","Random Harvest","Nominated","",""
"1943","Howard Bristol","The North Star","Nominated","",""
"1943","George James Hopkins","Mission to Moscow","Nominated","",""
"1943","George James Hopkins","This Is the Army","Nominated","",""
"1943","Edwin B. Willis","Madame Curie","Nominated","",""
"1943","Edwin B. Willis","Thousands Cheer","Nominated","",""
"1944","Howard Bristol","The Princess and the Pirate","Nominated","",""
"1944","Samuel M. Comer","No Time for Love","Nominated","",""
"1944","Edwin B. Willis","Gaslight","Won","",""
"1944","Edwin B. Willis","Kismet","Nominated","",""
"1944","Richard Pefferle","Kismet","Nominated","",""
"1945","Samuel M. Comer","Frenchman's Creek","Won","",""
"1945","Samuel M. Comer","Love Letters","Nominated","",""
"1945","Edwin B. Willis","National Velvet","Nominated","",""
"1945","Edwin B. Willis","The Picture of Dorian Gray","Nominated","",""
"1946","Samuel M. Comer","Kitty","Nominated","",""
"1946","Paul S. Fox","The Razor's Edge","Nominated","",""
"1946","Edwin B. Willis","The Yearling","Won","",""
"1947","Paul S. Fox","The Foxes of Harrow","Nominated","",""
"1947","George James Hopkins","Life with Father","Nominated","",""
"1949","Paul S. Fox","Come to the Stable","Nominated","",""
"1949","Jack D. Moore","Little Women","Won","",""
"1949","Edwin B. Willis","Little Women","Won","",""
"1949","Edwin B. Willis","Madame Bovary","Nominated","",""
"1950","Samuel M. Comer","Samson and Delilah","Won","",""
"1950","Samuel M. Comer","Sunset Boulevard","Won","",""
"1950","Edwin B. Willis","Annie Get Your Gun","Nominated","",""
"1950","Edwin B. Willis","The Red Danube","Nominated","",""
"1951","Paul S. Fox","David and Bathsheba","Nominated","",""
"1951","Paul S. Fox","House on Telegraph Hill","Nominated","",""
"1951","F. Keogh Gleason","An American in Paris","Won","",""
"1951","George James Hopkins","A Streetcar Named Desire","Won","",""
"1951","Jack D. Moore","Too Young to Kiss","Nominated","",""
"1951","Edwin B. Willis","An American in Paris","Won","",""
"1951","Edwin B. Willis","Too Young to Kiss","Nominated","",""
"1952","Howard Bristol","Hans Christian Andersen","Nominated","",""
"1952","Paul S. Fox","The Snows of Kilimanjaro","Nominated","",""
"1952","F. Keogh Gleason","The Bad and the Beautiful","Won","",""
"1952","Arthur Krams","The Merry Widow","Nominated","",""
"1952","Edwin B. Willis","The Bad and the Beautiful","Won","",""
"1952","Edwin B. Willis","The Merry Widow","Nominated","",""
"1953","Paul S. Fox","The President's Lady","Nominated","",""
"1953","Paul S. Fox","The Robe","Won","",""
"1953","F. Keogh Gleason","The Story of Three Loves","Nominated","",""
"1953","Arthur Krams","Lili","Nominated","",""
"1953","Arthur Krams","The Story of Three Loves","Nominated","",""
"1953","Jack D. Moore","The Story of Three Loves","Nominated","",""
"1953","Jack D. Moore","Young Bess","Nominated","",""
"1953","Edwin B. Willis","Julius Caesar","Won","",""
"1953","Edwin B. Willis","Lili","Nominated","",""
"1953","Edwin B. Willis","The Story of Three Loves","Nominated","",""
"1953","Edwin B. Willis","Young Bess","Nominated","",""
"1954","Samuel M. Comer","The Country Girl","Nominated","",""
"1954","Samuel M. Comer","Red Garters","Nominated","",""
"1954","Samuel M. Comer","Sabrina","Nominated","",""
"1954","Paul S. Fox","Désirée","Nominated","",""
"1954","F. Keogh Gleason","Brigadoon","Nominated","",""
"1954","George James Hopkins","A Star Is Born","Nominated","",""
"1954","Irene Sharaff","A Star Is Born","Nominated","",""
"1954","Edwin B. Willis","Brigadoon","Nominated","",""
"1954","Edwin B. Willis","Executive Suite","Nominated","",""
"1955","Howard Bristol","Guys and Dolls","Nominated","",""
"1955","Samuel M. Comer","The Rose Tattoo","Won","",""
"1955","Samuel M. Comer","To Catch a Thief","Nominated","",""
"1955","Paul S. Fox","Daddy Long Legs","Nominated","",""
"1955","Henry Grace","Blackboard Jungle","Nominated","",""
"1955","Arthur Krams","The Rose Tattoo","Won","",""
"1955","Arthur Krams","To Catch a Thief","Nominated","",""
"1955","Oliver Smith","Guys and Dolls","Nominated","",""
"1955","Edwin B. Willis","Blackboard Jungle","Nominated","",""
"1955","Edwin B. Willis","I'll Cry Tomorrow","Nominated","",""
