"Academy Award for Best Adapted Screenplay","Academy Award for Best Adapted Screenplay","Academy Award for Best Adapted Screenplay","Academy Award for Best Adapted Screenplay","Academy Award for Best Adapted Screenplay","Academy Award for Best Adapted Screenplay","Academy Award for Best Adapted Screenplay","Academy Award for Best Adapted Screenplay"
"Year","Name","Film","Adapted From","Status","Milestone","Demographic","Reference"
"1944","John Van Druten","Gaslight","Gaslight by Patrick Hamilton","Nominated","","Gay",""
"1951","Tennessee Williams","A Streetcar Named Desire","A Streetcar Named Desire by Tennessee Williams","Nominated","","Gay",""
"1956","Tennessee Williams","Baby Doll","27 Wagons Full of Cotton and The Unsatisfactory Supper by Tennessee Williams","Nominated","","Gay",""
"1958","Terence Rattigan","Separate Tables","Separate Tables by Terence Rattigan","Nominated","","Gay",""
"1960","Gavin Lambert","Sons and Lovers","Sons and Lovers by D.H. Lawrence","Nominated","","Gay",""
"1970","Larry Kramer","Women in Love","Women in Love by D.H. Lawrence","Nominated","","Gay",""
"1973","James Bridges","The Paper Chase","The Paper Chase by John Jay Osborn Jr.","Nominated","","Gay",""
"1974","Paul Dehn","Murder on the Orient Express","Murder on the Orient Express by Agatha Christie","Nominated","","Gay",""
"1977","Gavin Lambert","I Never Promised You a Rose Garden","I Never Promised You a Rose Garden by Joanne Greenberg","Nominated","","Gay",""
"1977","Peter Shaffer","Equus","Equus by Peter Shaffer","Nominated","","Gay",""
"1984","Peter Shaffer","Amadeus","Amadeus by Peter Shaffer","Won","","Gay",""
"1994","Alan Bennett","The Madness of King George","The Madness of George III by Alan Bennett","Nominated","","Gay",""
"1998","Bill Condon","Gods and Monsters","Father of Frankenstein by Christopher Bram","Won","","Gay",""
"2002","Bill Condon","Chicago","Chicago by Fred Ebb and Bob Fosse","Nominated","","Gay",""
"2005","Tony Kushner","Munich","Vengeance by George Jonas","Nominated","","Gay",""
"2009","Geoffrey S. Fletcher","Precious","Push by Sapphire","Won","","Gay",""
"2011","John Logan","Hugo","The Invention of Hugo Cabret by Brian Selznick","Nominated","","Gay",""
"2012","Tony Kushner","Lincoln","Team of Rivals: The Political Genius of Abraham Lincoln by Doris Kearns Goodwin","Nominated","","Gay",""
"2012","Jim Rash","The Descendants","The Descendants by Kaui Hart Hemmings","Won","","Gay",""
"2015","Emma Donoghue","Room","Room by Emma Donoghue","Nominated","","Lesbian",""
"2015","Phyllis Nagy","Carol","The Price of Salt by Patricia Highsmith","Nominated","","Lesbian",""
"2016","Tarell Alvin McCraney","Moonlight","In Moonlight Black Boys Look Blue by Tarell Alvin McCraney","Won","","Gay",""
"2017","James Ivory","Call Me by Your Name","Call Me by Your Name by André Aciman","Won","","Gay",""
"2017","Dee Rees","Mudbound","Mudbound by Hillary Jordan","Nominated","First queer black woman to be nominated for a screenplay Oscar","Lesbian",""
"2018","Jeff Whitty","Can You Ever Forgive Me?","Can You Ever Forgive Me? by Lee Israel","Nominated","","Gay",""
