year,orientation,winner,ratio,party
1928,Bisexual,0,0,Republican
1928,Bisexual,1,0,Republican
1928,Gay,0,0,Republican
1928,Gay,1,0,Republican
1928,Lesbian,0,0,Republican
1928,Lesbian,1,0,Republican
1928,Straight,0,60.0,Republican
1928,Straight,1,40.0,Republican
1929,Bisexual,0,15.18,Republican
1929,Bisexual,1,0,Republican
1929,Gay,0,0,Republican
1929,Gay,1,0,Republican
1929,Lesbian,0,0,Republican
1929,Lesbian,1,0,Republican
1929,Straight,0,84.82,Republican
1929,Straight,1,100.0,Republican
1930,Bisexual,0,6.67,Republican
1930,Bisexual,1,0,Republican
1930,Gay,0,0,Republican
1930,Gay,1,0,Republican
1930,Lesbian,0,0,Republican
1930,Lesbian,1,0,Republican
1930,Straight,0,93.33,Republican
1930,Straight,1,100.0,Republican
1931,Bisexual,0,0,Republican
1931,Bisexual,1,0,Republican
1931,Gay,0,0,Republican
1931,Gay,1,0,Republican
1931,Lesbian,0,0,Republican
1931,Lesbian,1,0,Republican
1931,Straight,0,100.0,Republican
1931,Straight,1,100.0,Republican
1932,Bisexual,0,0,Republican
1932,Bisexual,1,0,Republican
1932,Gay,0,0,Republican
1932,Gay,1,0,Republican
1932,Lesbian,0,0,Republican
1932,Lesbian,1,0,Republican
1932,Straight,0,100.0,Republican
1932,Straight,1,100.0,Republican
1933,Bisexual,0,0,Democratic
1933,Bisexual,1,0,Democratic
1933,Gay,0,6.67,Democratic
1933,Gay,1,0,Democratic
1933,Lesbian,0,0,Democratic
1933,Lesbian,1,0,Democratic
1933,Straight,0,93.33,Democratic
1933,Straight,1,100.0,Democratic
1934,Bisexual,0,0,Democratic
1934,Bisexual,1,0,Democratic
1934,Gay,0,0,Democratic
1934,Gay,1,0,Democratic
1934,Lesbian,0,0,Democratic
1934,Lesbian,1,0,Democratic
1934,Straight,0,100.0,Democratic
1934,Straight,1,100.0,Democratic
1935,Bisexual,0,0,Democratic
1935,Bisexual,1,0,Democratic
1935,Gay,0,0,Democratic
1935,Gay,1,0,Democratic
1935,Lesbian,0,0,Democratic
1935,Lesbian,1,0,Democratic
1935,Straight,0,100.0,Democratic
1935,Straight,1,100.0,Democratic
1936,Bisexual,0,0,Democratic
1936,Bisexual,1,0,Democratic
1936,Gay,0,0,Democratic
1936,Gay,1,0,Democratic
1936,Lesbian,0,0,Democratic
1936,Lesbian,1,0,Democratic
1936,Straight,0,100.0,Democratic
1936,Straight,1,100.0,Democratic
1937,Bisexual,0,5.0,Democratic
1937,Bisexual,1,0,Democratic
1937,Gay,0,0,Democratic
1937,Gay,1,0,Democratic
1937,Lesbian,0,0,Democratic
1937,Lesbian,1,0,Democratic
1937,Straight,0,95.0,Democratic
1937,Straight,1,100.0,Democratic
