year,count,milestone,race_ethnicity,sentiment
1928,10,-1,white,-1
1929,16,-1,white,-1
1930,18,-1,white,-1
1931,15,-1,white,-1
1932,9,-1,white,-1
1933,9,-1,white,-1
1934,10,-1,white,-1
1935,14,-1,white,-1
1935,1,-1,asian,-1
1936,25,-1,white,-1
1937,25,-1,white,-1
1938,25,-1,white,-1
1939,24,-1,white,-1
1939,1,-1,black,-1
1940,25,-1,white,-1
1941,25,African–Americans in WWII                             ,white,Acceptance
1942,25,-1,white,-1
1943,25,-1,white,-1
1944,25,-1,white,-1
1945,25,-1,white,-1
1946,25,-1,white,-1
1947,25,Jackie Robinson                                         ,white,Acceptance
1948,24,-1,white,-1
1948,1,-1,hispan,-1
1949,24,-1,white,-1
1949,1,-1,black,-1
1950,24,-1,white,-1
1950,1,-1,hispan,-1
1951,25,-1,white,-1
1952,23,-1,white,-1
1952,2,-1,hispan,-1
1953,25,-1,white,-1
1954,23,"Brown v. Board Of Education, May 17, 1954",white,Acceptance
1954,1,"Brown v. Board Of Education, May 17, 1954",black,Acceptance
1954,1,"Brown v. Board Of Education, May 17, 1954",hispan,Acceptance
1955,25,"Emmett Till|Rosa Parks and the Montgomery Bus Boycott, December 1955",white,Protest|Protest
1956,24,-1,white,-1
1956,1,-1,hispan,-1
1957,22,"Central High School integrated, September 1957",white,Acceptance
1957,2,"Central High School integrated, September 1957",asian,Acceptance
1957,1,"Central High School integrated, September 1957",hispan,Acceptance
1958,24,-1,white,-1
1958,1,-1,black,-1
1959,24,-1,white,-1
1959,1,-1,black,-1
1960,25,"Sit–in movement and founding of SNCC, 1960",white,Protest
1961,25,"CORE and Freedom Rides, May 1961",white,Acceptance
1961,1,"CORE and Freedom Rides, May 1961",hispan,Acceptance
1962,24,"Integration of Ole Miss, September 1962",white,Acceptance
1962,1,"Integration of Ole Miss, September 1962",arab,Acceptance
1963,24,"Birmingham church bombed, 1963|“I Have a Dream”, 1963",white,Protest|Acceptance
1963,1,"Birmingham church bombed, 1963|“I Have a Dream”, 1963",black,Protest|Acceptance
1964,24,"Civil Rights Act of 1964, July 1964|Freedom Summer and the “Mississippi Burning” murders, June 1964",white,Acceptance|Acceptance
1964,1,"Civil Rights Act of 1964, July 1964|Freedom Summer and the “Mississippi Burning” murders, June 1964",hispan,Acceptance|Acceptance
1965,24,"Selma to Montgomery march, March 1965|Malcolm X shot to death, February 1965|Voting Rights Act of 1965, August 1965

",white,Protest|Protest|Acceptance
1965,1,"Selma to Montgomery march, March 1965|Malcolm X shot to death, February 1965|Voting Rights Act of 1965, August 1965
",asian,Protest|Protest|Acceptance
1966,23,-1,white,-1
1966,1,-1,asian,-1
1966,1,-1,indig,-1
1967,23,-1,white,-1
1967,2,-1,black,-1
1968,25,"Fair Housing Act, April 1968|MLK assassinated, April 4, 1968
",white,Acceptance|Protest
1969,24,-1,white,-1
1969,1,-1,black,-1
1970,23,-1,white,-1
1970,1,-1,black,-1
1970,1,-1,indig,-1
1971,25,-1,white,-1
