year,orientation,ethnicity,winner,ratio,party
1928,Bisexual,Asian,0,0,Republican
1928,Bisexual,Black,0,0,Republican
1928,Bisexual,Hispanic,0,0,Republican
1928,Bisexual,White,0,0,Republican
1928,Bisexual,Asian,1,0,Republican
1928,Bisexual,Black,1,0,Republican
1928,Bisexual,Hispanic,1,0,Republican
1928,Bisexual,White,1,0,Republican
1928,Bisexual,Asian,2,0,Republican
1928,Bisexual,Black,2,0,Republican
1928,Bisexual,Hispanic,2,0,Republican
1928,Bisexual,White,2,0,Republican
1928,Gay     ,Asian,0,0,Republican
1928,Gay     ,Black,0,0,Republican
1928,Gay     ,Hispanic,0,0,Republican
1928,Gay     ,White,0,0,Republican
1928,Gay     ,Asian,1,0,Republican
1928,Gay     ,Black,1,0,Republican
1928,Gay     ,Hispanic,1,0,Republican
1928,Gay     ,White,1,0,Republican
1928,Gay     ,Asian,2,0,Republican
1928,Gay     ,Black,2,0,Republican
1928,Gay     ,Hispanic,2,0,Republican
1928,Gay     ,White,2,0,Republican
1928,Lesbian ,Asian,0,0,Republican
1928,Lesbian ,Black,0,0,Republican
1928,Lesbian ,Hispanic,0,0,Republican
1928,Lesbian ,White,0,0,Republican
1928,Lesbian ,Asian,1,0,Republican
1928,Lesbian ,Black,1,0,Republican
1928,Lesbian ,Hispanic,1,0,Republican
1928,Lesbian ,White,1,0,Republican
1928,Lesbian ,Asian,2,0,Republican
1928,Lesbian ,Black,2,0,Republican
1928,Lesbian ,Hispanic,2,0,Republican
1928,Lesbian ,White,2,0,Republican
1928,Straight,Asian,0,0,Republican
1928,Straight,Black,0,0,Republican
1928,Straight,Hispanic,0,0,Republican
1928,Straight,White,0,100,Republican
1928,Straight,Asian,1,0,Republican
1928,Straight,Black,1,0,Republican
1928,Straight,Hispanic,1,0,Republican
1928,Straight,White,1,100,Republican
1928,Straight,Asian,2,0,Republican
1928,Straight,Black,2,0,Republican
1928,Straight,Hispanic,2,0,Republican
1928,Straight,White,2,100,Republican
1929,Bisexual,Asian,0,0,Republican
1929,Bisexual,Black,0,0,Republican
1929,Bisexual,Hispanic,0,0,Republican
1929,Bisexual,White,0,15.2,Republican
1929,Bisexual,Asian,1,0,Republican
1929,Bisexual,Black,1,0,Republican
1929,Bisexual,Hispanic,1,0,Republican
1929,Bisexual,White,1,0,Republican
1929,Bisexual,Asian,2,0,Republican
1929,Bisexual,Black,2,0,Republican
1929,Bisexual,Hispanic,2,0,Republican
1929,Bisexual,White,2,12.5,Republican
1929,Gay     ,Asian,0,0,Republican
1929,Gay     ,Black,0,0,Republican
1929,Gay     ,Hispanic,0,0,Republican
1929,Gay     ,White,0,0,Republican
1929,Gay     ,Asian,1,0,Republican
1929,Gay     ,Black,1,0,Republican
1929,Gay     ,Hispanic,1,0,Republican
1929,Gay     ,White,1,0,Republican
1929,Gay     ,Asian,2,0,Republican
1929,Gay     ,Black,2,0,Republican
1929,Gay     ,Hispanic,2,0,Republican
1929,Gay     ,White,2,0,Republican
1929,Lesbian ,Asian,0,0,Republican
1929,Lesbian ,Black,0,0,Republican
1929,Lesbian ,Hispanic,0,0,Republican
1929,Lesbian ,White,0,0,Republican
1929,Lesbian ,Asian,1,0,Republican
1929,Lesbian ,Black,1,0,Republican
1929,Lesbian ,Hispanic,1,0,Republican
1929,Lesbian ,White,1,0,Republican
1929,Lesbian ,Asian,2,0,Republican
1929,Lesbian ,Black,2,0,Republican
