aux,percentage_race_win_nom,political_party,race_ethnicity,winner,year
0,100.0,Republican,White,0,1928
1,100.0,Republican,White,1,1928
0,100.0,Republican,White,2,1928
2,100.0,Republican,White,0,1929
3,100.0,Republican,White,1,1929
1,100.0,Republican,White,2,1929
4,100.0,Republican,White,0,1930
5,100.0,Republican,White,1,1930
2,100.0,Republican,White,2,1930
3,100.0,Republican,White,2,1931
6,100.0,Republican,White,0,1931
7,100.0,Republican,White,1,1931
8,100.0,Republican,White,0,1932
4,100.0,Republican,White,2,1932
9,100.0,Republican,White,1,1932
10,100.0,Republican,White,0,1933
11,100.0,Republican,White,1,1933
5,100.0,Republican,White,2,1933
6,100.0,Democratic,White,2,1934
13,100.0,Democratic,White,1,1934
12,100.0,Democratic,White,0,1934
16,100.0,Democratic,White,1,1935
15,91.67,Democratic,White,0,1935
14,8.33,Democratic,Asian,0,1935
7,6.664,Democratic,Asian,2,1935
8,93.336,Democratic,White,2,1935
9,100.0,Democratic,White,2,1936
17,100.0,Democratic,White,0,1936
18,100.0,Democratic,White,1,1936
20,100.0,Democratic,White,1,1937
19,100.0,Democratic,White,0,1937
10,100.0,Democratic,White,2,1937
21,100.0,Democratic,White,0,1938
22,100.0,Democratic,White,1,1938
11,100.0,Democratic,White,2,1938
24,100.0,Democratic,White,0,1939
13,96.0,Democratic,White,2,1939
25,80.0,Democratic,White,1,1939
23,20.0,Democratic,Black,1,1939
12,4.0,Democratic,Black,2,1939
14,100.0,Democratic,White,2,1940
27,100.0,Democratic,White,1,1940
26,100.0,Democratic,White,0,1940
15,100.0,Democratic,White,2,1941
29,100.0,Democratic,White,1,1941
28,100.0,Democratic,White,0,1941
31,100.0,Democratic,White,1,1942
30,100.0,Democratic,White,0,1942
16,100.0,Democratic,White,2,1942
17,100.0,Democratic,White,2,1943
33,100.0,Democratic,White,1,1943
32,100.0,Democratic,White,0,1943
35,100.0,Democratic,White,1,1944
34,100.0,Democratic,White,0,1944
18,100.0,Democratic,White,2,1944
37,100.0,Democratic,White,1,1945
36,100.0,Democratic,White,0,1945
19,100.0,Democratic,White,2,1945
39,100.0,Democratic,White,1,1946
38,100.0,Democratic,White,0,1946
20,100.0,Democratic,White,2,1946
41,100.0,Democratic,White,1,1947
40,100.0,Democratic,White,0,1947
21,100.0,Democratic,White,2,1947
44,100.0,Democratic,White,1,1948
43,95.0,Democratic,White,0,1948
42,5.0,Democratic,Hispanic,0,1948
22,4.0,Democratic,Hispanic,2,1948
23,96.0,Democratic,White,2,1948
45,5.0,Democratic,Black,0,1949
24,4.0,Democratic,Black,2,1949
25,96.0,Democratic,White,2,1949
47,100.0,Democratic,White,1,1949
46,95.0,Democratic,White,0,1949
49,100.0,Democratic,White,0,1950
26,4.0,Democratic,Hispanic,2,1950
27,96.0,Democratic,White,2,1950
50,80.0,Democratic,White,1,1950
48,20.0,Democratic,Hispanic,1,1950
28,100.0,Democratic,White,2,1951
51,100.0,Democratic,White,0,1951
52,100.0,Democratic,White,1,1951
30,92.0,Democratic,White,2,1952
29,8.0,Democratic,Hispanic,2,1952
53,5.0,Democratic,Hispanic,0,1952
54,20.0,Democratic,Hispanic,1,1952
56,80.0,Democratic,White,1,1952
55,95.0,Democratic,White,0,1952
58,100.0,Republican,White,1,1953
31,100.0,Republican,White,2,1953
57,100.0,Republican,White,0,1953
60,5.0,Republican,Hispanic,0,1954
32,4.0,Republican,Black,2,1954
61,90.0,Republican,White,0,1954
62,100.0,Republican,White,1,1954
59,5.0,Republican,Black,0,1954
34,92.0,Republican,White,2,1954
33,4.0,Republican,Hispanic,2,1954
63,100.0,Republican,White,0,1955
64,100.0,Republican,White,1,1955
35,100.0,Republican,White,2,1955
66,100.0,Republican,White,0,1956
67,80.0,Republican,White,1,1956
37,96.0,Republican,White,2,1956
36,4.0,Republican,Hispanic,2,1956
65,20.0,Republican,Hispanic,1,1956
68,5.0,Republican,Asian,0,1957
39,4.0,Republican,Hispanic,2,1957
40,88.0,Republican,White,2,1957
69,20.0,Republican,Asian,1,1957
70,5.0,Republican,Hispanic,0,1957
71,90.0,Republican,White,0,1957
72,80.0,Republican,White,1,1957
38,8.0,Republican,Asian,2,1957
41,4.0,Republican,Black,2,1958
42,96.0,Republican,White,2,1958
73,5.0,Republican,Black,0,1958
74,95.0,Republican,White,0,1958
75,100.0,Republican,White,1,1958
76,5.0,Republican,Black,0,1959
77,95.0,Republican,White,0,1959
78,100.0,Republican,White,1,1959
43,4.0,Republican,Black,2,1959
44,96.0,Republican,White,2,1959
80,100.0,Republican,White,1,1960
79,100.0,Republican,White,0,1960
45,100.0,Republican,White,2,1960
83,83.33,Democratic,White,1,1961
47,96.666,Democratic,White,2,1961
46,3.3340000000000005,Democratic,Hispanic,2,1961
81,16.67,Democratic,Hispanic,1,1961
82,100.0,Democratic,White,0,1961
