Ano,Partido,Nome,Etnia,Pais,Continente,Estado,Categoria,Winner
1928,Republican,Richard Barthelmess,White,USA,North America,New York,ACTOR,0
1928,Republican,Emil Jannings,White,Germany,Europe,0,ACTOR,1
1928,Republican,Louise Dresser,White,USA,North America,Indiana,ACTRESS,0
1928,Republican,Janet Gaynor,White,USA,North America,Pennsylvania,ACTRESS,1
1928,Republican,Gloria Swanson,White,USA,North America,Illinois,ACTRESS,0
1929,Republican,George Bancroft,White,USA,North America,California,ACTOR,0
1929,Republican,Warner Baxter,White,USA,North America,Ohio,ACTOR,1
1929,Republican,Chester Morris,White,USA,North America,New York,ACTOR,0
1929,Republican,Paul Muni,White,Ukraine,Europe,0,ACTOR,0
1929,Republican,Lewis Stone,White,USA,North America,California,ACTOR,0
1929,Republican,Ruth Chatterton,White,USA,North America,New York,ACTRESS,0
1929,Republican,Betty Compson,White,USA,North America,Utah,ACTRESS,0
1929,Republican,Jeanne Eagels,White,USA,North America,Kansas,ACTRESS,0
1929,Republican,Corinne Griffith,White,USA,North America,Texas,ACTRESS,0
1929,Republican,Bessie Love,White,USA,North America,Texas,ACTRESS,0
1929,Republican,Mary Pickford,White,Canada,North America,0,ACTRESS,1
1930,Republican,George Arliss,White,England,Europe,0,ACTOR,1
1930,Republican,George Arliss,White,England,Europe,0,ACTOR,0
1930,Republican,Wallace Beery,White,USA,North America,Missouri,ACTOR,0
1930,Republican,Maurice Chevalier,White,France,Europe,0,ACTOR,0
1930,Republican,Ronald Colman,White,England,Europe,0,ACTOR,0
1930,Republican,Lawrence Tibbett,White,USA,North America,California,ACTOR,0
1930,Republican,Nancy Carroll,White,USA,North America,New York,ACTRESS,0
1930,Republican,Ruth Chatterton,White,USA,North America,New York,ACTRESS,0
1930,Republican,Greta Garbo,White,Sweden,Europe,0,ACTRESS,0
1930,Republican,Norma Shearer,White,Canada,North America,0,ACTRESS,1
1930,Republican,Norma Shearer,White,Canada,North America,0,ACTRESS,0
1930,Republican,Gloria Swanson,White,Canada,North America,Illinois,ACTRESS,0
1931,Republican,Lionel Barrymore,White,Canada,North America,Pennsylvania,ACTOR,1
1931,Republican,Jackie Cooper,White,USA,North America,California,ACTOR,0
1931,Republican,Richard Dix,White,USA,North America,Minnesota,ACTOR,0
1931,Republican,Fredric March,White,USA,North America,Wisconsin,ACTOR,0
1931,Republican,Adolphe Menjou,White,USA,North America,Pennsylvania,ACTOR,0
1931,Republican,Marlene Dietrich,White,Germany,Europe,0,ACTRESS,0
1931,Republican,Marie Dressler,White,Canada,North America,0,ACTRESS,1
1931,Republican,Irene Dunne,White,USA,North America,Kentucky,ACTRESS,0
1931,Republican,Ann Harding,White,USA,North America,Texas,ACTRESS,0
1931,Republican,Norma Shearer,White,Canada,North America,0,ACTRESS,0
1932,Republican,Wallace Beery,White,USA,North America,Missouri,ACTOR,1
1932,Republican,Alfred Lunt,White,USA,North America,Illinois,ACTOR,0
1932,Republican,Fredric March,White,USA,North America,Wisconsin,ACTOR,1
1932,Republican,Marie Dressler,White,Canada,North America,0,ACTRESS,0
1932,Republican,Lynn Fontanne,White,England,Europe,0,ACTRESS,0
1932,Republican,Helen Hayes,White,USA,North America,Washington,ACTRESS,1
1933,Republican,Leslie Howard,White,England,Europe,0,ACTOR,0
1933,Republican,Charles Laughton,White,England,Europe,0,ACTOR,1
1933,Republican,Paul Muni,White,Ukraine,Europe,0,ACTOR,0
1933,Republican,Katharine Hepburn,White,USA,North America,Connecticut,ACTRESS,1
1933,Republican,May Robson,White,Australia,Oceania,0,ACTRESS,0
1933,Republican,Diana Wynyard,White,England,Europe,0,ACTRESS,0
1934,Democratic,Clark Gable,White,USA,North America,Ohio,ACTOR,1
1934,Democratic,Frank Morgan,White,USA,North America,New York,ACTOR,0
1934,Democratic,William Powell,White,USA,North America,Pennsylvania,ACTOR,0
1934,Democratic,Claudette Colbert,White,France,Europe,0,ACTRESS,1
1934,Democratic,Bette Davis,White,USA,North America,Massachusetts,ACTRESS,0
1934,Democratic,Grace Moore,White,USA,North America,Tennessee,ACTRESS,0
1934,Democratic,Norma Shearer,White,Canada,North America,0,ACTRESS,0
1935,Democratic,Clark Gable,White,USA,North America,Ohio,ACTOR,0
1935,Democratic,Charles Laughton,White,England,Europe,0,ACTOR,0
1935,Democratic,Victor McLaglen,White,England,Europe,0,ACTOR,1
1935,Democratic,Paul Muni,White,Ukraine,Europe,0,ACTOR,0
1935,Democratic,Franchot Tone,White,USA,North America,New York,ACTOR,0
1935,Democratic,Elisabeth Bergner,White,Ukraine,Europe,0,ACTRESS,0
1935,Democratic,Claudette Colbert,White,France,Europe,0,ACTRESS,0
1935,Democratic,Bette Davis,White,USA,North America,Massachusetts,ACTRESS,1
1935,Democratic,Katharine Hepburn,White,USA,North America,Connecticut,ACTRESS,0
1935,Democratic,Miriam Hopkins,White,USA,North America,Georgia,ACTRESS,0
1935,Democratic,Merle Oberon,Asian,India,Asia,0,ACTRESS,0
1936,Democratic,Gary Cooper,White,USA,North America,Montana,ACTOR,0
1936,Democratic,Walter Huston,White,Canada,North America,0,ACTOR,0
1936,Democratic,Paul Muni,White,Ukraine,Europe,0,ACTOR,1
1936,Democratic,William Powell,White,USA,North America,Pennsylvania,ACTOR,0
1936,Democratic,Spencer Tracy,White,USA,North America,Wisconsin,ACTOR,0
1936,Democratic,Mischa Auer,White,Russia,Asia,0,ACTOR IN A SUPPORTING ROLE,0
1936,Democratic,Walter Brennan,White,USA,North America,Massachusetts,ACTOR IN A SUPPORTING ROLE,1
1936,Democratic,Stuart Erwin,White,USA,North America,California,ACTOR IN A SUPPORTING ROLE,0
1936,Democratic,Basil Rathbone,White,South Africa,Africa,0,ACTOR IN A SUPPORTING ROLE,0
1936,Democratic,Akim Tamiroff,White,Russia,Asia,0,ACTOR IN A SUPPORTING ROLE,0
1936,Democratic,Irene Dunne,White,USA,North America,California,ACTRESS,0
1936,Democratic,Gladys George,White,USA,North America,California,ACTRESS,0
1936,Democratic,Carole Lombard,White,USA,North America,Indiana,ACTRESS,0
1936,Democratic,Luise Rainer,White,Germany,Europe,0,ACTRESS,1
1936,Democratic,Norma Shearer,White,Canada,North America,0,ACTRESS,0
1936,Democratic,Beulah Bondi,White,USA,North America,Indiana,ACTRESS IN A SUPPORTING ROLE,0
1936,Democratic,Alice Brady,White,USA,North America,New York,ACTRESS IN A SUPPORTING ROLE,0
1936,Democratic,Bonita Granville,White,USA,North America,New York,ACTRESS IN A SUPPORTING ROLE,0
1936,Democratic,Maria Ouspenskaya,White,Russia,Asia,0,ACTRESS IN A SUPPORTING ROLE,0
1936,Democratic,Gale Sondergaard,White,USA,North America,Minnesota,ACTRESS IN A SUPPORTING ROLE,1
1937,Democratic,Charles Boyer,White,France,Europe,0,ACTOR,0
1937,Democratic,Fredric March,White,USA,North America,California,ACTOR,0
1937,Democratic,Robert Montgomery,White,USA,North America,New York,ACTOR,0
1937,Democratic,Paul Muni,White,Ukraine,Europe,0,ACTOR,0
1937,Democratic,Spencer Tracy,White,USA,North America,Wisconsin,ACTOR,1
1937,Democratic,Ralph Bellamy,White,USA,North America,Illinois,ACTOR IN A SUPPORTING ROLE,0
1937,Democratic,Thomas Mitchell,White,USA,North America,New Jersey,ACTOR IN A SUPPORTING ROLE,0
1937,Democratic,Joseph Schildkraut,White,Austria,Europe,0,ACTOR IN A SUPPORTING ROLE,1
1937,Democratic,H. B. Warner,White,England,Europe,0,ACTOR IN A SUPPORTING ROLE,0
1937,Democratic,Roland Young,White,England,Europe,0,ACTOR IN A SUPPORTING ROLE,0
1937,Democratic,Irene Dunne,White,USA,North America,Kentucky,ACTRESS,0
1937,Democratic,Greta Garbo,White,Sweden,Europe,0,ACTRESS,0
1937,Democratic,Janet Gaynor,White,USA,North America,Pennsylvania,ACTRESS,0
1937,Democratic,Luise Rainer,White,Germany,Europe,0,ACTRESS,1
1937,Democratic,Barbara Stanwyck,White,USA,North America,New York,ACTRESS,0
1937,Democratic,Alice Brady,White,USA,North America,New York,ACTRESS IN A SUPPORTING ROLE,1
1937,Democratic,Andrea Leeds,White,USA,North America,Montana,ACTRESS IN A SUPPORTING ROLE,0
1937,Democratic,Anne Shirley,White,USA,North America,New York,ACTRESS IN A SUPPORTING ROLE,0
1937,Democratic,Claire Trevor,White,USA,North America,New York,ACTRESS IN A SUPPORTING ROLE,0
1937,Democratic,Dame May Whitty,White,England,Europe,0,ACTRESS IN A SUPPORTING ROLE,0
1938,Democratic,Charles Boyer,White,France,Europe,0,ACTOR,0
1938,Democratic,James Cagney,White,USA,North America,New York,ACTOR,0
1938,Democratic,Robert Donat,White,England,Europe,0,ACTOR,0
1938,Democratic,Leslie Howard,White,England,Europe,0,ACTOR,0
1938,Democratic,Spencer Tracy,White,USA,North America,Wisconsin,ACTOR,1
1938,Democratic,Walter Brennan,White,USA,North America,Massachusetts,ACTOR IN A SUPPORTING ROLE,1
1938,Democratic,John Garfield,White,USA,North America,New York,ACTOR IN A SUPPORTING ROLE,0
1938,Democratic,Gene Lockhart,White,Canada,North America,0,ACTOR IN A SUPPORTING ROLE,0
1938,Democratic,Robert Morley,White,England,Europe,0,ACTOR IN A SUPPORTING ROLE,0
1938,Democratic,Basil Rathbone,White,South Africa,Africa,0,ACTOR IN A SUPPORTING ROLE,0
1938,Democratic,Fay Bainter,White,USA,North America,California,ACTRESS,0
1938,Democratic,Bette Davis,White,USA,North America,Massachusetts,ACTRESS,1
1938,Democratic,Wendy Hiller,White,England,Europe,0,ACTRESS,0
1938,Democratic,Norma Shearer,White,Canada,North America,0,ACTRESS,0
1938,Democratic,Margaret Sullavan,White,USA,North America,Virginia,ACTRESS,0
1938,Democratic,Fay Bainter,White,USA,North America,California,ACTRESS IN A SUPPORTING ROLE,1
1938,Democratic,Beulah Bondi,White,USA,North America,Illinois,ACTRESS IN A SUPPORTING ROLE,0
1938,Democratic,Billie Burke,White,USA,North America,Washington,ACTRESS IN A SUPPORTING ROLE,0
1938,Democratic,Spring Byington,White,USA,North America,Colorado,ACTRESS IN A SUPPORTING ROLE,0
1938,Democratic,Miliza Korjus,Asian,Russia,Asia,0,ACTRESS IN A SUPPORTING ROLE,0
1939,Democratic,Robert Donat,White,England,Europe,0,ACTOR,1
1939,Democratic,Clark Gable,White,USA,North America,Ohio,ACTOR,0
1939,Democratic,Laurence Olivier,White,England,Europe,0,ACTOR,0
1939,Democratic,Mickey Rooney,White,USA,North America,New York,ACTOR,0
1939,Democratic,James Stewart,White,USA,North America,Indiana,ACTOR,0
1939,Democratic,Brian Aherne,White,England,Europe,0,ACTOR IN A SUPPORTING ROLE,0
1939,Democratic,Harry Carey,White,USA,North America,New York,ACTOR IN A SUPPORTING ROLE,0
1939,Democratic,Brian Donlevy,White,USA,North America,Ohio,ACTOR IN A SUPPORTING ROLE,0
1939,Democratic,Thomas Mitchell,White,USA,North America,New Jersey,ACTOR IN A SUPPORTING ROLE,1
1939,Democratic,Claude Rains,White,England,Europe,0,ACTOR IN A SUPPORTING ROLE,0
1939,Democratic,Bette Davis,White,USA,North America,Massachusetts,ACTRESS,0
1939,Democratic,Irene Dunne,White,USA,North America,Kentucky,ACTRESS,0
1939,Democratic,Greta Garbo,White,Sweden,Europe,0,ACTRESS,0
1939,Democratic,Greer Garson,White,England,Europe,0,ACTRESS,0
1939,Democratic,Vivien Leigh,White,India,Asia,0,ACTRESS,1
1939,Democratic,Olivia de Havilland,White,Japan,Asia,0,ACTRESS IN A SUPPORTING ROLE,0
1939,Democratic,Geraldine Fitzgerald,White,Ireland,Europe,0,ACTRESS IN A SUPPORTING ROLE,0
1939,Democratic,Hattie McDaniel,Black,USA,North America,Kansas,ACTRESS IN A SUPPORTING ROLE,1
1939,Democratic,Edna May Oliver,White,USA,North America,Massachusetts,ACTRESS IN A SUPPORTING ROLE,0
1939,Democratic,Maria Ouspenskaya,White,Russia,Asia,0,ACTRESS IN A SUPPORTING ROLE,0
1940,Democratic,Charles Chaplin,White,England,Europe,0,ACTOR,0
1940,Democratic,Henry Fonda,White,USA,North America,Nebraska,ACTOR,0
1940,Democratic,Raymond Massey,White,Canada,North America,0,ACTOR,0
1940,Democratic,Laurence Olivier,White,England,Europe,0,ACTOR,0
1940,Democratic,James Stewart,White,USA,North America,Pennsylvania,ACTOR,1
1940,Democratic,Albert Basserman,White,Germany,Europe,0,ACTOR IN A SUPPORTING ROLE,0
1940,Democratic,Walter Brennan,White,USA,North America,Massachusetts,ACTOR IN A SUPPORTING ROLE,1
1940,Democratic,William Gargan,White,USA,North America,New York,ACTOR IN A SUPPORTING ROLE,0
1940,Democratic,Jack Oakie,White,USA,North America,Missouri,ACTOR IN A SUPPORTING ROLE,0
1940,Democratic,James Stephenson,White,England,Europe,0,ACTOR IN A SUPPORTING ROLE,0
1940,Democratic,Bette Davis,White,USA,North America,Massachusetts,ACTRESS,0
